ano;date;hour;round;home_team;score;away_team;placar_casa;placar_visitante;resultado;arena;state
2013;26/05/2013;01:00;1;Corinthians;;Botafogo RJ;1.0;1.0;2;;
2013;26/05/2013;20:00;1;Criciuma;;Bahia;3.0;1.0;1;;
2013;26/05/2013;20:00;1;Gremio;;Nautico;2.0;0.0;1;;
2013;26/05/2013;20:00;1;Ponte Preta;;Sao Paulo;0.0;2.0;3;;
2013;26/05/2013;20:00;1;Santos;;Flamengo RJ;0.0;0.0;2;;
2013;25/05/2013;22:30;1;Vasco;;Portuguesa;1.0;0.0;1;;
2013;25/05/2013;22:30;1;Vitoria;;Internacional;2.0;2.0;2;;
2013;26/05/2013;22:30;1;Coritiba;;Atletico-MG;2.0;1.0;1;;
2013;26/05/2013;22:30;1;Cruzeiro;;Goias;5.0;0.0;1;;
2013;26/05/2013;22:30;1;Fluminense;;Atletico-PR;2.0;1.0;1;;
2013;30/05/2013;01:00;2;Bahia;;Coritiba;0.0;0.0;2;;
2013;30/05/2013;01:00;2;Flamengo RJ;;Ponte Preta;0.0;2.0;3;;
2013;30/05/2013;01:00;2;Nautico;;Vitoria;0.0;3.0;3;;
2013;30/05/2013;02:00;2;Goias;;Corinthians;1.0;1.0;2;;
2013;29/05/2013;19:00;2;Atletico-PR;;Cruzeiro;2.0;2.0;2;;
2013;01/06/2013;20:20;2;Atletico-PR;;Flamengo RJ;2.0;2.0;2;;
2013;01/06/2013;20:20;2;Botafogo RJ;;Cruzeiro;2.0;1.0;1;;
2013;29/05/2013;23:30;2;Botafogo RJ;;Santos;2.0;1.0;1;;
2013;29/05/2013;23:30;2;Sao Paulo;;Vasco;5.0;1.0;1;;
2013;30/05/2013;23:30;2;Internacional;;Criciuma;2.0;0.0;1;;
2013;02/06/2013;01:00;3;Corinthians;;Ponte Preta;1.0;0.0;1;;
2013;01/06/2013;20:20;3;Santos;;Gremio;1.0;1.0;2;;
2013;01/06/2013;22:30;3;Goias;;Coritiba;1.0;1.0;2;;
2013;01/06/2013;22:30;3;Vitoria;;Vasco;2.0;0.0;1;;
2013;02/06/2013;22:30;3;Atletico-MG;;Sao Paulo;0.0;0.0;2;;
2013;02/06/2013;22:30;3;Fluminense;;Criciuma;3.0;0.0;1;;
2013;02/06/2013;22:30;3;Internacional;;Bahia;1.0;2.0;3;;
2013;02/06/2013;22:30;3;Nautico;;Portuguesa;2.0;2.0;2;;
2013;05/06/2013;23:30;3;Criciuma;;Santos;3.0;1.0;1;;
2013;05/06/2013;23:30;3;Portuguesa;;Internacional;1.0;1.0;2;;
2013;06/06/2013;01:00;4;Gremio;;Vitoria;1.0;0.0;1;;
