ano;date;hour;round;home_team;score;away_team;placar_casa;placar_visitante;resultado;arena;state
2015;10/05/2015; 11:00;1;Grêmio - RS;3 x 3;Ponte Preta - SP;3.0;3.0;2;Arena do Grêmio - Porto Alegre - RS;
2015;10/05/2015; 16:00;1;São Paulo - SP;2 x 1;Flamengo - RJ;2.0;1.0;1;Morumbi - Sao Paulo - SP;
2015;10/05/2015; 16:00;1;Cruzeiro - MG;0 x 1;Corinthians - SP;0.0;1.0;3;Arena Pantanal - Cuiaba - MT;
2015;10/05/2015; 16:00;1;Atlético - PR;3 x 0;Internacional - RS;3.0;0.0;1;Arena da Baixada - Curitiba - PR;
2015;10/05/2015; 16:00;1;Sport - PE;4 x 1;Figueirense - SC;4.0;1.0;1;Ilha do Retiro - Recife - PE;
2015;09/05/2015; 18:30;1;Palmeiras - SP;2 x 2;Atlético - MG;2.0;2.0;2;Allianz Parque - Sao Paulo - SP;
2015;09/05/2015; 18:30;1;Chapecoense - SC;2 x 1;Coritiba - PR;2.0;1.0;1;Arena Condá - Chapeco - SC;
2015;10/05/2015; 18:30;1;Vasco da Gama - RJ;0 x 0;Goiás - GO;0.0;0.0;2;São Januário - Rio de Janeiro - RJ;
2015;10/05/2015; 18:30;1;Avaí - SC;1 x 1;Santos - SP;1.0;1.0;2;Ressacada - Florianopolis - SC;
2015;09/05/2015; 21:00;1;Fluminense - RJ;1 x 0;Joinville - SC;1.0;0.0;1;Maracanã - Rio de Janeiro - RJ;
2015;17/05/2015; 11:00;2;Figueirense - SC;0 x 0;Vasco da Gama - RJ;0.0;0.0;2;Orlando Scarpelli - Florianopolis - SC;
2015;17/05/2015; 16:00;2;Flamengo - RJ;2 x 2;Sport - PE;2.0;2.0;2;Maracanã - Rio de Janeiro - RJ;
2015;17/05/2015; 16:00;2;Santos - SP;1 x 0;Cruzeiro - MG;1.0;0.0;1;Vila Belmiro - Santos - SP;
2015;17/05/2015; 16:00;2;Atlético - MG;4 x 1;Fluminense - RJ;4.0;1.0;1;Mané Garrincha - Brasilia - DF;
2015;16/05/2015; 18:30;2;Coritiba - PR;2 x 0;Grêmio - RS;2.0;0.0;1;Couto Pereira - Curitiba - PR;
2015;16/05/2015; 18:30;2;Goiás - GO;2 x 0;Atlético - PR;2.0;0.0;1;Serra Dourada - Goiania - GO;
2015;17/05/2015; 18:30;2;Joinville - SC;0 x 0;Palmeiras - SP;0.0;0.0;2;Arena Joinville - Joinville - SC;
2015;17/05/2015; 18:30;2;Ponte Preta - SP;1 x 0;São Paulo - SP;1.0;0.0;1;Moisés Lucarelli - Campinas - SP;
2015;17/05/2015; 18:30;2;Internacional - RS;1 x 0;Avaí - SC;1.0;0.0;1;Beira-Rio - Porto Alegre - RS;
2015;16/05/2015; 21:00;2;Corinthians - SP;1 x 0;Chapecoense - SC;1.0;0.0;1;Fonte Luminosa - Araraquara - SP;
2015;24/05/2015; 11:00;3;Palmeiras - SP;0 x 1;Goiás - GO;0.0;1.0;3;Allianz Parque - Sao Paulo - SP;
2015;24/05/2015; 16:00;3;Fluminense - RJ;0 x 0;Corinthians - SP;0.0;0.0;2;Maracanã - Rio de Janeiro - RJ;
2015;24/05/2015; 16:00;3;Avaí - SC;2 x 1;Flamengo - RJ;2.0;1.0;1;Ressacada - Florianopolis - SC;
2015;24/05/2015; 16:00;3;Atlético - PR;1 x 0;Atlético - MG;1.0;0.0;1;Arena da Baixada - Curitiba - PR;
2015;24/05/2015; 16:00;3;Chapecoense - SC;1 x 0;Santos - SP;1.0;0.0;1;Arena Condá - Chapeco - SC;
2015;23/05/2015; 18:30;3;São Paulo - SP;3 x 0;Joinville - SC;3.0;0.0;1;Morumbi - Sao Paulo - SP;
2015;23/05/2015; 18:30;3;Vasco da Gama - RJ;1 x 1;Internacional - RS;1.0;1.0;2;São Januário - Rio de Janeiro - RJ;
2015;24/05/2015; 18:30;3;Cruzeiro - MG;1 x 1;Ponte Preta - SP;1.0;1.0;2;Mineirão - Belo Horizonte - MG;
2015;24/05/2015; 18:30;3;Sport - PE;1 x 0;Coritiba - PR;1.0;0.0;1;Ilha do Retiro - Recife - PE;
2015;23/05/2015; 21:00;3;Grêmio - RS;1 x 0;Figueirense - SC;1.0;0.0;1;Arena do Grêmio - Porto Alegre - RS;
2015;31/05/2015; 11:00;4;Santos - SP;2 x 2;Sport - PE;2.0;2.0;2;Vila Belmiro - Santos - SP;
2015;31/05/2015; 16:00;4;Corinthians - SP;0 x 2;Palmeiras - SP;0.0;2.0;3;Arena Corinthians - Sao Paulo - SP;
2015;31/05/2015; 16:00;4;Internacional - RS;0 x 0;São Paulo - SP;0.0;0.0;2;Beira-Rio - Porto Alegre - RS;
2015;31/05/2015; 16:00;4;Atlético - MG;3 x 0;Vasco da Gama - RJ;3.0;0.0;1;Independência - Belo Horizonte - MG;
2015;31/05/2015; 16:00;4;Goiás - GO;1 x 1;Grêmio - RS;1.0;1.0;2;Serra Dourada - Goiania - GO;
2015;30/05/2015; 18:30;4;Ponte Preta - SP;3 x 1;Chapecoense - SC;3.0;1.0;1;Moisés Lucarelli - Campinas - SP;
