ano;date;hour;round;home_team;score;away_team;placar_casa;placar_visitante;resultado;arena;state
2011;22/05/2011;16h00;1;Palmeiras;1 x 0;Botafogo;1.0;0.0;1;Teixeirão;São José do Rio Preto
2011;22/05/2011;16h00;1;Grêmio;1 x 2;Corinthians;1.0;2.0;3;Olímpico Monumental;Porto Alegre
2011;22/05/2011;16h00;1;Coritiba;0 x 1;Atlético-GO;0.0;1.0;3;Couto Pereira;Curitiba
2011;22/05/2011;16h00;1;Figueirense;1 x 0;Cruzeiro;1.0;0.0;1;Orlando Scarpelli;Florianópolis
2011;21/05/2011;18h30;1;Atlético-MG;3 x 0;Atlético-PR;3.0;0.0;1;Arena do Jacaré;Sete Lagoas
2011;21/05/2011;18h30;1;Ceará;1 x 3;Vasco;1.0;3.0;3;Presidente Vargas;Fortaleza
2011;21/05/2011;18h30;1;Flamengo;4 x 0;Avaí;4.0;0.0;1;Cláudio Moacir Azevedo;Macaé
2011;22/05/2011;18h30;1;Fluminense;0 x 2;São Paulo;0.0;2.0;3;São Januário;Rio de Janeiro
2011;22/05/2011;18h30;1;América-MG;2 x 1;Bahia;2.0;1.0;1;Arena do Jacaré;Sete Lagoas
2011;21/05/2011;21h00;1;Santos;1 x 1;Internacional;1.0;1.0;2;Vila Belmiro;Santos
2011;29/05/2011;16h00;2;Corinthians;2 x 1;Coritiba;2.0;1.0;1;Arena da Fonte;Araraquara
2011;29/05/2011;16h00;2;Bahia;3 x 3;Flamengo;3.0;3.0;2;Pituaçu;Salvador
2011;29/05/2011;16h00;2;Atlético-PR;0 x 1;Grêmio;0.0;1.0;3;Arena da Baixada;Curitiba
2011;29/05/2011;16h00;2;Cruzeiro;1 x 1;Palmeiras;1.0;1.0;2;Arena do Jacaré;Sete Lagoas
2011;28/05/2011;18h30;2;Internacional;0 x 1;Ceará;0.0;1.0;3;Beira-Rio;Porto Alegre
2011;28/05/2011;18h30;2;Botafogo;1 x 0;Santos;1.0;0.0;1;Engenhão;Rio De Janeiro
