Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Internacional,Ponte Preta,34,[0.4234 0.3069 0.2697],[0.4391 0.2998 0.2611],[0.4024 0.3135 0.2841],[0.4378 0.3028 0.2593],[0.4015 0.3163 0.2822],[0.52  0.219 0.26 ],[0.3924 0.2806 0.3269],[0.4396 0.3069 0.2535],0.15798436318176706,0.1561282728920666,0.15709397177293835,0.15908439131624466,0.1595282804339521,0.07236977465847753,0.13424556247912645,0.1644,[0.4312 0.2574 0.3113],0.10156337515074612,0.47249802,0.18915520500000002,1,0.49939325999999995,0.20260282500000001,1,0.53612082,0.21891928500000002,1,0.47266205999999994,0.19139100999999997,1,0.5378847800000001,0.21891954500000002,1,0.47499317,0.191678605,1,0.55477773,0.23805338499999992,1,0.34596099999999996,0.14926099999999998,1,0.48669589,0.21025170499999993,1,0.36215801999999997,0.147408885,1
Palmeiras,Vasco,34,[0.8255 0.1169 0.0501],[0.8358 0.1089 0.046 ],[0.8076 0.1269 0.0592],[0.8368 0.1095 0.045 ],[0.8095 0.1265 0.0578],[0.8084 0.1191 0.0628],[0.7445 0.1445 0.1049],[0.806  0.1229 0.0629],0.0055066529634579305,0.004944752618911809,0.00669180853122829,0.0048274179024239035,0.006527036414069062,0.006807198200314949,0.011467455582318648,0.007,[0.6958 0.2132 0.0906],0.011546031189027285,1.5428968200000002,0.7562792250000001,0,1.59742587,0.78481213,0,1.55342601,0.76277385,0,1.62053685,0.79555311,0,1.55903334,0.7657123449999998,0,1.62424949,0.7978968100000001,0,1.3763645100000002,0.67231923,0,1.54603921,0.7569304499999999,0,1.3566002400000001,0.6552093999999999,0,0.91675802,0.424708885,0
Cruzeiro,São Paulo,34,[0.4618 0.2999 0.2383],[0.4617 0.3074 0.2309],[0.4249 0.309  0.2661],[0.4771 0.2989 0.224 ],[0.4343 0.3044 0.2613],[0.3578 0.3265 0.3157],[0.4422 0.2695 0.2882],[0.49   0.2883 0.2216],0.07790367060293314,0.07472877073842991,0.07403173491242093,0.0779045689358141,0.0760330275321254,0.06346315792805474,0.0850083275017787,0.0819,[0.4461 0.2902 0.2637],0.08165494853496907,0.39232345,0.15462545,1,0.4363861400000001,0.173223065,1,0.4970302199999999,0.20077460999999996,1,0.43757646,0.17154085,1,0.48095353999999996,0.19414709,1,0.4129416199999999,0.16180020499999995,1,0.46683033000000007,0.19712887000000004,1,0.61868958,0.256043665,1,0.46055894,0.18817145000000005,1,0.36215801999999997,0.147408885,1
Figueirense,Atlético-MG,34,[0.3187 0.2527 0.4283],[0.3236 0.2547 0.4215],[0.3101 0.2545 0.4353],[0.3252 0.2525 0.422 ],[0.3098 0.2529 0.4371],[0.3106 0.2165 0.4716],[0.2976 0.2251 0.4767],[0.3521 0.253  0.3947],0.09488564655500879,0.09581122499041551,0.0987983270509263,0.09324551303073429,0.09718685390506769,0.05627763113900793,0.08323217680704656,0.0886,[0.2584 0.2524 0.4889],0.11261438599804109,0.5543715,0.24506023,1,0.49226786999999994,0.21403386999999996,1,0.47981834999999995,0.20746759,1,0.5042513,0.219573945,1,0.47679086,0.20630368499999996,1,0.50359529,0.21974621,1,0.41307866,0.18089070499999996,1,0.42255117,0.18715423,1,0.39169953,0.16384364500000004,1,0.91675802,0.424708885,0
Flamengo,Goiás,34,[0.5052 0.2664 0.2282],[0.5148 0.2674 0.2177],[0.4879 0.2683 0.2437],[0.5164 0.2657 0.2177],[0.487  0.2676 0.2453],[0.4787 0.2513 0.2698],[0.4711 0.2407 0.2879],[0.5355 0.2511 0.2131],0.01594147577286148,0.015735759953427523,0.015350320303836505,0.016119260390341134,0.01550404030030156,0.019270291977929406,0.019309205675246837,0.0199,[0.5025 0.2999 0.1975],0.00964871103955047,0.32422307,0.13064995000000001,1,0.36787124000000004,0.14849681999999997,1,0.39362099,0.16084243,1,0.35431508999999994,0.14142794499999997,1,0.39495085,0.16169508500000002,1,0.35185874000000006,0.140674705,1,0.4205581099999999,0.18139726999999994,1,0.40769742000000003,0.172326865,1,0.3764525100000001,0.14327601000000004,1,0.36215801999999997,0.147408885,1
Joinville,Santos,34,[0.2666 0.2938 0.4396],[0.2764 0.2978 0.4258],[0.2538 0.2927 0.4534],[0.279  0.2951 0.4258],[0.2556 0.2909 0.4535],[0.2005 0.2408 0.5584],[0.2281 0.2457 0.5259],[0.2624 0.2918 0.4458],0.12248828761813092,0.1261908530075634,0.12371952687180565,0.1220292070394184,0.1209124089096161,0.0747368451333459,0.07902491775039082,0.1206,[0.2016 0.2698 0.5285],0.10960485027570563,0.7691386399999999,0.1337957,0,0.7630421599999999,0.13216186,0,0.7702592900000002,0.13503835,0,0.75078744,0.12885129999999997,0,0.7738164200000001,0.135496805,0,0.7560306500000001,0.12961590999999997,0,0.8975689099999999,0.16445807,0,0.92839545,0.176173015,0,0.8531468499999999,0.16003026499999998,0,0.8609580199999999,0.156308885,0
Corinthians,Coritiba,34,[0.8185 0.1364 0.0422],[0.8207 0.1362 0.0403],[0.8106 0.143  0.0439],[0.8245 0.1321 0.0401],[0.8136 0.1401 0.0436],[0.8579 0.1031 0.0318],[0.8015 0.1335 0.061 ],[0.8492 0.1113 0.0338],0.06626378327480258,0.0642371718331756,0.06618784689851581,0.06520731202609557,0.06662668110713672,0.06257455153724452,0.07959795846004136,0.0633,[0.7014 0.1879 0.1093],0.09326889713119946,0.036270770000000015,0.01216669000000001,1,0.053328049999999995,0.017492335,1,0.05824857,0.019015785000000004,1,0.052323020000000005,0.017006970000000007,1,0.05627393000000001,0.018447970000000005,1,0.04985867,0.016347349999999997,1,0.060945500000000014,0.021821625,1,0.03183326,0.010882625000000002,1,0.13641486,0.05070920499999999,1,0.36215801999999997,0.147408885,1
Atlético-PR,Avaí,34,[0.6221 0.2246 0.1527],[0.6227 0.2269 0.1499],[0.6244 0.2235 0.1515],[0.6262 0.2239 0.1494],[0.627  0.2218 0.1507],[0.6317 0.2115 0.1558],[0.5331 0.2363 0.2302],[0.5967 0.2384 0.1645],0.09525015518498482,0.09413428431607572,0.09531832709264877,0.09485824517595029,0.09560147235770805,0.09825318821487808,0.09618454861334386,0.0934,[0.3463 0.3171 0.3365],0.06512936974267902,0.2465457,0.09492153,1,0.21657085999999998,0.08315483,1,0.21397986000000005,0.08210506500000002,1,0.21630891,0.08248784999999999,1,0.21103473,0.08099534500000001,1,0.21217801,0.08109835000000001,1,0.32682534,0.13558606499999998,1,0.20465077999999998,0.08011606499999997,1,0.64110835,0.27031162999999997,1,0.36215801999999997,0.147408885,1
Sport,Grêmio,34,[0.4564 0.2742 0.2693],[0.457  0.2696 0.2733],[0.433  0.2816 0.2853],[0.4676 0.2699 0.2624],[0.4396 0.282  0.2783],[0.6171 0.2008 0.1803],[0.3697 0.2652 0.365 ],[0.4157 0.2933 0.291 ],0.13120406523785405,0.12528429717391054,0.1325234356745452,0.12953066893326512,0.13519764422342342,0.0859769780960082,0.11262922718056209,0.1404,[0.472  0.2256 0.3016],0.06851355026510668,0.51211238,0.213043745,1,0.4432090900000001,0.18403866500000007,1,0.48218364999999996,0.20147108499999997,1,0.4422260499999999,0.18479828499999995,1,0.47102305,0.195777365,1,0.42514953,0.17617800999999997,1,0.6008341300000001,0.2652880550000001,1,0.21944114000000003,0.08988803000000002,1,0.42064192,0.1851152,1,0.36215801999999997,0.147408885,1
Fluminense,Chapecoense,34,[0.4776 0.3052 0.2171],[0.4803 0.2989 0.2208],[0.4747 0.3043 0.221 ],[0.4839 0.3038 0.2123],[0.4774 0.308  0.2147],[0.5501 0.2756 0.1742],[0.4133 0.2847 0.302 ],[0.4605 0.3079 0.2316],0.006137635558112168,0.0069209268498919615,0.006431877878442668,0.005992215422282641,0.005778116268921368,0.005844619549017819,0.011914179217306252,0.0067,[0.3859 0.3129 0.3012],0.009301531407812352,0.8973012199999999,0.40124940499999995,0,0.9341812100000001,0.4204388050000001,0,0.92477958,0.41609054500000003,0,0.9271819400000001,0.418920365,0,0.93947085,0.422381965,0,0.9469249400000002,0.42731525000000004,0,0.7390749799999999,0.329010445,0,1.06051101,0.4921952550000001,0,0.73514666,0.31862012500000003,0,0.91675802,0.424708885,0
