Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Ponte Preta,Santos,34,[0.2957 0.2635 0.4407],[0.3327 0.2678 0.3994],[0.2815 0.2604 0.458 ],[0.3362 0.269  0.3947],[0.2858 0.2622 0.4519],[0.3467 0.2467 0.4064],[0.2704 0.199  0.53  ],[0.2878 0.2824 0.4297],0.08929973009947613,0.08475258345437905,0.09104823937228723,0.08400808201084606,0.0903076226824652,0.08757965912922182,0.09679445084254415,0.0889,[0.5335 0.2361 0.2299],0.05938633470876803,0.48782069000000006,0.20397844500000004,1,0.46968723,0.20007157,1,0.44081441,0.186448935,1,0.54312649,0.23564477500000003,1,0.45084409000000003,0.19099282500000003,1,0.5517795299999999,0.23964874499999997,1,0.33361715999999997,0.14672643999999999,1,0.53342274,0.23616224500000002,1,0.93341947,0.43845333,0,0.91675802,0.424708885,0
Vitória,Atlético-PR,34,[0.3868 0.3154 0.2978],[0.3984 0.3057 0.2959],[0.3821 0.3133 0.3046],[0.4018 0.3098 0.2884],[0.3845 0.3175 0.2979],[0.4951 0.2585 0.2462],[0.349  0.2525 0.3984],[0.3593 0.3511 0.2896],0.010546285304746692,0.012297628351978923,0.010885151801630398,0.01148275528609419,0.010188975446117502,0.023131496534451543,0.01291875861648235,0.0138,[0.4696 0.2582 0.272 ],0.0248172188114699,0.61763586,0.247182325,1,0.56417624,0.23234954,1,0.57273846,0.23729078499999998,1,0.54293186,0.22473968500000002,1,0.56839091,0.23382213,1,0.5369938400000001,0.22050890000000004,1,0.64627981,0.2913016300000001,0,0.38236070000000005,0.157818505,1,0.42197539999999994,0.17770851999999998,1,0.36215801999999997,0.147408885,1
Flamengo,Botafogo,34,[0.5562 0.2555 0.188 ],[0.5586 0.2595 0.1817],[0.5386 0.2637 0.1975],[0.5723 0.2514 0.176 ],[0.5501 0.2569 0.1928],[0.69   0.1796 0.1278],[0.4966 0.2196 0.2836],[0.5294 0.2876 0.1828],0.09713667074661443,0.10471993840154893,0.10350485723507619,0.09732804452248361,0.09691868653441175,0.04205472003608173,0.05956468464554216,0.1211,[0.5506 0.2492 0.1999],0.0848867234797769,0.8211939599999999,0.15687669999999998,0,0.89898269,0.17240771,0,0.8712338999999999,0.16458764499999998,0,0.8933890999999998,0.17256080499999998,0,0.8919794600000001,0.169929525,0,0.9189052499999999,0.179304535,0,0.9360646799999999,0.16357702,0,1.165489,0.24655545999999995,0,0.9068210100000001,0.171620245,0,0.8609580199999999,0.156308885,0
Palmeiras,Internacional,34,[0.7042 0.1959 0.0989],[0.7101 0.1946 0.0943],[0.6886 0.2022 0.1082],[0.7202 0.1899 0.0888],[0.6994 0.1976 0.102 ],[0.7037 0.1869 0.1079],[0.6672 0.1787 0.1533],[0.7103 0.2137 0.0753],0.15389123437937596,0.15785896765416793,0.15160881881809948,0.15849203822087762,0.15250994252589511,0.12947382640564475,0.1505431114710058,0.1799,[0.6432 0.2279 0.1285],0.16420791552699457,0.13526386999999998,0.04485128999999999,1,0.13565565999999998,0.048739324999999986,1,0.14956204,0.0544478,1,0.13080366000000002,0.04656255000000002,1,0.13981011999999998,0.05048517999999999,1,0.12223549000000003,0.04318563000000002,1,0.16619042,0.067251645,1,0.13436771,0.04988214999999999,1,0.1957569,0.071960805,1,0.36215801999999997,0.147408885,1
Cruzeiro,Fluminense,34,[0.4329 0.281  0.286 ],[0.4583 0.2777 0.2639],[0.42   0.2803 0.2996],[0.4639 0.2787 0.2573],[0.4262 0.2817 0.292 ],[0.4687 0.2551 0.276 ],[0.4248 0.2274 0.3478],[0.4523 0.3043 0.2434],0.0057868399862290535,0.0061020568068179655,0.005867915449024138,0.005911771047543761,0.005702468890853329,0.009986583107310975,0.007315537629134644,0.0076,[0.4418 0.2803 0.2779],0.0058605115106398886,0.45181734000000007,0.17960942500000004,1,0.48235940999999993,0.20172781499999998,1,0.5047282500000001,0.21311005000000008,1,0.4401993900000001,0.18156745000000005,1,0.49386533,0.20728443,1,0.43128019,0.17682899000000002,1,0.5035306399999999,0.22590993999999998,1,0.4235317,0.17928308499999998,1,0.46738374,0.19440782500000003,1,0.36215801999999997,0.147408885,1
Santa Cruz,América-MG,34,[0.6131 0.2335 0.153 ],[0.6269 0.228  0.1446],[0.6032 0.2375 0.159 ],[0.6297 0.2272 0.1426],[0.6064 0.2362 0.157 ],[0.635  0.2033 0.1604],[0.5282 0.2088 0.2627],[0.5705 0.2657 0.1635],0.14971608523838653,0.1498942787722407,0.1498744276450441,0.15045272435652288,0.1499257296209271,0.10346382503761312,0.13176678655597437,0.1535,[0.5714 0.2839 0.1446],0.2075255063948212,0.28179899,0.10565039,1,0.22762286000000004,0.08661166500000002,1,0.23913749000000004,0.09141341000000003,1,0.21209677,0.080128935,1,0.23536039999999997,0.08984793999999999,1,0.20907668999999998,0.078799975,1,0.33520397,0.145882165,1,0.20028405,0.07968678999999998,1,0.28520632999999995,0.10231803,1,0.36215801999999997,0.147408885,1
São Paulo,Corinthians,34,[0.3925 0.325  0.2825],[0.3974 0.3325 0.2701],[0.3763 0.3301 0.2936],[0.4102 0.3258 0.264 ],[0.3874 0.3249 0.2876],[0.42   0.2816 0.2983],[0.3956 0.2575 0.3469],[0.4128 0.3405 0.2467],0.007008200772397029,0.006887025586450544,0.006083284288086142,0.007782384574681886,0.006785414320991095,0.010920821232224412,0.0072267932803352615,0.0062,[0.3672 0.3043 0.3285],0.0067902066446201585,0.52160498,0.20283236499999993,1,0.5544874999999999,0.22443124999999994,1,0.5841686599999999,0.23760132499999995,1,0.54663702,0.21804038500000003,1,0.56355253,0.22902503,1,0.52370568,0.20878002,1,0.5519452200000001,0.24281948500000003,1,0.5046814500000001,0.21272128500000004,1,0.6009465800000001,0.254174045,1,0.36215801999999997,0.147408885,1
Coritiba,Atlético-MG,34,[0.4374 0.2531 0.3093],[0.4505 0.2529 0.2964],[0.4086 0.2577 0.3335],[0.4722 0.2475 0.28  ],[0.4274 0.2543 0.3181],[0.4493 0.2256 0.3243],[0.3855 0.2145 0.3997],[0.4283 0.2828 0.2888],0.07368490439486639,0.07697470110995963,0.06906142899726753,0.0797929454427157,0.07181796414628354,0.05835516772814802,0.05853321613453904,0.0728,[0.4029 0.2488 0.348 ],0.06349637791219565,0.49022216999999996,0.20515205499999997,1,0.47624486,0.20615452499999998,1,0.5273855,0.23055484499999995,1,0.45376162,0.19496092499999998,1,0.49372686,0.21459284499999998,1,0.4182290900000001,0.17857051000000002,1,0.58338059,0.26880517000000004,0,0.45933633999999995,0.20448057,1,0.53953385,0.23892069500000002,1,0.36215801999999997,0.147408885,1
Chapecoense,Figueirense,34,[0.5807 0.2335 0.1854],[0.6242 0.216  0.1591],[0.5733 0.2362 0.1901],[0.6217 0.2177 0.1599],[0.5714 0.2374 0.1908],[0.6114 0.2078 0.1796],[0.5356 0.2056 0.2584],[0.5892 0.2562 0.1542],0.12645351353357195,0.12214548743322919,0.1267933074436238,0.12379661324805823,0.12786534693360108,0.0960899874972008,0.12875911841145252,0.151,[0.6203 0.2229 0.1562],0.13370973906632153,0.25817272,0.09632898000000004,1,0.26470790000000005,0.105167145,1,0.27400134,0.10918164999999998,1,0.21319445,0.08338108500000001,1,0.27646136,0.11012778000000001,1,0.21607219,0.08445186999999998,1,0.32470928,0.14132248000000003,1,0.22644695999999997,0.09185001999999998,1,0.21825494,0.08437934500000002,1,0.36215801999999997,0.147408885,1
Grêmio,Sport,34,[0.5741 0.2421 0.1834],[0.6086 0.2303 0.1606],[0.5624 0.2484 0.1889],[0.609  0.2282 0.1622],[0.5635 0.2459 0.1903],[0.6983 0.1877 0.1124],[0.4819 0.2237 0.2943],[0.5189 0.2895 0.1915],0.0076927696167316435,0.006117328078544009,0.007986094861149992,0.0062979313059110574,0.008181206174289099,0.003519224180491016,0.015825030642156564,0.006,[0.4748 0.2719 0.2532],0.013381159093258438,1.00673971,0.46138389,0,1.05503878,0.49788670500000004,0,1.0358795299999999,0.486845245,0,1.12802441,0.53707371,0,1.0336131499999999,0.48633034999999997,0,1.12486508,0.5358925999999999,0,0.78028179,0.36504949000000003,0,1.31068794,0.636310725,0,0.85707489,0.39149797,0,0.91675802,0.424708885,0
