Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Fluminense,Vasco,32,[0.5659 0.2408 0.1929],[0.5867 0.2338 0.179 ],[0.5655 0.2398 0.1943],[0.5815 0.2363 0.1817],[0.5609 0.242  0.1967],[0.7206 0.1652 0.1106],[0.4372 0.2613 0.3012],[0.5466 0.2918 0.1614],0.06762441906674045,0.06344443849214171,0.06701433423302419,0.06487948088382439,0.06839614758429279,0.03178768057909109,0.06701860739716912,0.0728,[0.3716 0.3083 0.32  ],0.12888907788033274,1.08716876,0.50084308,0,1.02963786,0.48550393,0,1.0264467800000001,0.48414925000000003,0,1.0729203299999999,0.508718695,0,1.0184637,0.47962868999999997,0,1.06359483,0.5034696700000001,0,0.7477429699999999,0.3395230899999999,0,1.33758776,0.65195948,0,0.6955354499999999,0.30017529,0,0.91675802,0.424708885,0
São Paulo,Flamengo,32,[0.5358 0.2729 0.1912],[0.5387 0.274  0.1872],[0.5173 0.2772 0.2054],[0.5514 0.2701 0.1783],[0.5284 0.2746 0.1969],[0.6254 0.2028 0.1703],[0.469  0.2708 0.26  ],[0.5889 0.2977 0.1132],0.030924396543306774,0.029817216971438392,0.032266966322677795,0.029105927799544556,0.03148223195340294,0.04937446008961252,0.049790264054212593,0.0267,[0.5008 0.2431 0.2557],0.05355177609434043,0.8528427399999998,0.17983140499999997,0,0.8523134900000003,0.16183867000000005,0,0.83222829,0.154914775,0,0.85231753,0.16263949499999997,0,0.8441813300000001,0.159007785,0,0.8685868600000001,0.16795212499999998,0,0.81929364,0.14383253999999995,0,1.0556550900000001,0.21032132499999998,0,0.88908074,0.15819400500000003,0,0.8609580199999999,0.156308885,0
Sport,Ceará,32,[0.4257 0.3258 0.2485],[0.4481 0.3163 0.2356],[0.4184 0.3292 0.2524],[0.4501 0.3147 0.2351],[0.418  0.3279 0.2541],[0.4285 0.3071 0.2643],[0.2632 0.3002 0.4365],[0.3122 0.4186 0.2691],0.17831734497276708,0.1783420158370308,0.17849224912524167,0.17751689382375474,0.17706886296275295,0.1601982232507314,0.09427489254469341,0.1585,[0.4326 0.3485 0.2189],0.20267138810781124,0.72070961,0.272768745,0,0.49771838,0.19578637,1,0.5103369600000001,0.20098215999999997,1,0.4601466600000001,0.18005048500000004,1,0.5108092200000001,0.20164540500000006,1,0.45669811,0.17885453000000004,1,0.8235265300000001,0.36674690500000007,0,0.49077715,0.19825980999999998,1,0.49131221999999997,0.18492998500000002,1,0.36215801999999997,0.147408885,1
Palmeiras,Santos,32,[0.6692 0.2244 0.1059],[0.6837 0.2191 0.0968],[0.6647 0.226  0.109 ],[0.6831 0.2196 0.0969],[0.6649 0.226  0.1087],[0.7377 0.1777 0.083 ],[0.5238 0.2744 0.2016],[0.6437 0.2719 0.0842],0.01217125011387711,0.011257824030625354,0.012483661693656955,0.011197668525783782,0.012417545110347705,0.016331528989435608,0.019447560087081713,0.0156,[0.5454 0.2484 0.2059],0.02267048426886733,0.20796894,0.06703654499999999,1,0.17099880999999997,0.060374924999999996,1,0.17538309000000005,0.06218633500000002,1,0.15742074000000003,0.054746845000000016,1,0.17518369999999997,0.062097489999999984,1,0.15803937999999995,0.05494652999999998,1,0.34270435999999993,0.13374485999999997,1,0.10726758,0.03798050499999999,1,0.31075853000000003,0.124589845,1,0.36215801999999997,0.147408885,1
Botafogo,Corinthians,32,[0.3499 0.3215 0.3285],[0.3565 0.3186 0.3249],[0.3205 0.3245 0.355 ],[0.3749 0.3179 0.3072],[0.3363 0.3255 0.3382],[0.382  0.2965 0.3215],[0.2687 0.2869 0.4444],[0.3346 0.3741 0.2913],0.14736738308557812,0.14689884532766673,0.14119151535912614,0.15199419148656415,0.1464431834400531,0.13375374230035555,0.08519213815081597,0.1482,[0.4856 0.2662 0.248 ],0.1315189344020826,0.66756366,0.263806425,0,0.63390451,0.26530399000000005,1,0.6930455,0.293872625,0,0.62115822,0.25982613,1,0.66082718,0.27743846499999997,0,0.58618226,0.24256092499999996,1,0.81460266,0.366145525,0,0.5731984999999999,0.242643125,1,0.39697379999999993,0.16310531999999997,1,0.36215801999999997,0.147408885,1
Atlético-MG,Grêmio,32,[0.3516 0.3141 0.3342],[0.3338 0.3233 0.3429],[0.3451 0.3155 0.3394],[0.3454 0.3193 0.3353],[0.3583 0.3113 0.3304],[0.336 0.299 0.365],[0.296  0.2793 0.4245],[0.3646 0.3479 0.2874],0.13697675119261585,0.14669147324020337,0.13947362766592697,0.14137061299899795,0.13375595025609818,0.1317373464433945,0.10310589036084707,0.1215,[0.37   0.2767 0.3532],0.10744243424719836,0.7617663299999999,0.32029471,0,0.66557101,0.28338953,0,0.6550266200000001,0.27774318500000006,0,0.6477257399999999,0.271601425,1,0.67365074,0.28837152499999996,0,0.6630797400000001,0.280563625,0,0.49682474,0.20929306499999992,1,0.605522,0.2580605,1,0.6318131300000001,0.27756045000000007,0,0.91675802,0.424708885,0
Atlético-PR,Cruzeiro,33,[0.4817 0.3278 0.1905],[0.4722 0.3259 0.2019],[0.4731 0.3309 0.1961],[0.4777 0.3266 0.1957],[0.4769 0.3321 0.191 ],[0.585  0.2368 0.1778],[0.4197 0.3034 0.2768],[0.5041 0.3488 0.147 ],0.11334390425400022,0.10948113764568469,0.11057479765228011,0.11162134138328217,0.11218996114841331,0.11610504959869017,0.08557554686471436,0.1037,[0.4752 0.2849 0.2398],0.09985088569356892,0.38918725,0.13377761500000002,1,0.41237798,0.15246257,1,0.4255736299999999,0.15801980999999996,1,0.42554726000000004,0.15966822500000002,1,0.42040502,0.15505730500000003,1,0.41776334,0.15554789,1,0.50541789,0.206710855,1,0.25991208,0.10199020000000002,1,0.41408709,0.16648352999999996,1,0.36215801999999997,0.147408885,1
América-MG,Paraná,33,[0.623  0.279  0.0979],[0.6198 0.2807 0.0994],[0.6151 0.2842 0.1006],[0.6267 0.277  0.0963],[0.6213 0.2809 0.0977],[0.6813 0.2087 0.1093],[0.5116 0.3118 0.1766],[0.575  0.3575 0.0675],0.06501040647818128,0.06586289385029696,0.06693389384526019,0.06402328132292244,0.06523301208833325,0.05026382954421495,0.0877660259532002,0.0465,[0.4919 0.3504 0.1577],0.1028272651581329,1.3279874999999999,0.6000906249999999,0,1.27975441,0.6008665049999999,0,1.26803801,0.593544255,0,1.27402489,0.59752615,0,1.27906379,0.5999892699999998,0,1.28615558,0.6047132900000001,0,1.0369413600000001,0.46986106000000016,0,1.3010718700000001,0.62813509,0,1.07421506,0.47571745,0,0.91675802,0.424708885,0
Santos,Chapecoense,33,[0.6393 0.2174 0.1426],[0.6533 0.2112 0.1346],[0.631  0.22   0.1484],[0.6583 0.2091 0.1316],[0.6339 0.2189 0.1466],[0.6924 0.1898 0.1163],[0.5407 0.2473 0.2115],[0.6864 0.2161 0.0966],0.054881845593352456,0.052000772229747166,0.05613075688402609,0.05107219421966536,0.05558892248806617,0.042789706268776054,0.05624810081323069,0.0425,[0.4203 0.2994 0.2803],0.11404591527506255,1.3339757300000001,0.64282601,0,1.1911020099999998,0.5713199349999999,0,1.1717835600000002,0.56118118,0,1.2203234899999997,0.587080975,0,1.1780379799999998,0.564548705,0,1.23120026,0.592871325,0,0.9752460299999999,0.4566503699999999,0,1.2963674900000002,0.628848425,0,0.78426054,0.34731009,0,0.91675802,0.424708885,0
Vitória,Bahia,33,[0.4118 0.2741 0.314 ],[0.4007 0.2783 0.3209],[0.4096 0.2763 0.3141],[0.409  0.2761 0.3149],[0.4185 0.2738 0.3077],[0.5272 0.2284 0.2438],[0.2554 0.2577 0.4865],[0.343  0.3193 0.3377],0.046727349537294884,0.04527725787105348,0.04577940026735197,0.04591684582784026,0.04644911799483439,0.05748074990908964,0.054239387027493674,0.0479,[0.2866 0.3262 0.3871],0.02672376348463138,0.6950427800000001,0.11584514500000001,0,0.79510605,0.13411903,0,0.79017266,0.13321548500000002,0,0.7843881900000002,0.13180075,0,0.7971879799999999,0.13491077,0,0.79047422,0.13322150499999996,0,0.8529207,0.151150465,0,0.9327448400000001,0.16883577999999996,0,0.68599241,0.11603170500000001,0,0.8609580199999999,0.156308885,0
