Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Flamengo,Coritiba,34,[0.6399 0.2284 0.131 ],[0.5557 0.262  0.1821],[0.5541 0.2622 0.1835],[0.5604 0.2623 0.1771],[0.5522 0.2623 0.1853],[0.5581 0.2625 0.1792],[0.5358 0.2096 0.2542],[0.5366 0.2456 0.2175],[0.4186 0.2986 0.2827],0.023,0.016092533952759645,0.016396229656735095,0.01564740113697658,0.029214333291090522,0.02500678031602306,0.01361868978287835,0.19899957,0.07350869499999997,0.29920690000000005,0.11531791000000001,0.30124789999999996,0.11628626999999998,0.29341386,0.112341745,0.3036622199999999,0.117467565,0.2962945,0.11373000499999998,0.32403143999999995,0.14015147999999997,0.32236517000000003,0.13108824500000002,0.5071072099999999,0.20900090499999993,0.36215801999999997,0.147408885
Santos,Cruzeiro,34,[0.4718 0.2738 0.2542],[0.4441 0.2648 0.291 ],[0.4359 0.2653 0.2987],[0.4361 0.2677 0.2961],[0.4434 0.2638 0.2926],[0.444  0.2662 0.2896],[0.3911 0.2156 0.393 ],[0.3917 0.2474 0.3606],[0.2425 0.2548 0.5024],0.0843,0.0885456073186031,0.08786078772174669,0.08968746778244988,0.0947139784729902,0.07767157879389343,0.12168196961098039,0.8537793200000001,0.38925732,0.7700248500000002,0.34988201500000005,0.75221459,0.34084513000000005,0.7573217099999999,0.34275883,0.76660876,0.34836772000000005,0.7726666,0.35076003999999994,0.56789157,0.260522095,0.62346801,0.28093889499999997,0.37133505000000006,0.153056815,0.91675802,0.424708885
Atlético-PR,Sport,34,[0.6675 0.234  0.0981],[0.6346 0.2336 0.1314],[0.63   0.2349 0.1347],[0.6365 0.2307 0.1324],[0.6333 0.2347 0.1317],[0.6405 0.2302 0.1289],[0.5834 0.2151 0.2012],[0.6657 0.209  0.1245],[0.4214 0.3043 0.2742],0.0511,0.06131845105556176,0.061749085517413566,0.05976605167298689,0.08637445214350145,0.050974118740334896,0.1162913438850003,1.31373586,0.6291293299999999,1.2117520800000001,0.57824428,1.2008221,0.5724760849999999,1.2110845,0.5785841249999999,1.2100978699999998,0.57724649,1.2220475,0.5841794499999999,1.02470501,0.48897894999999997,1.2533377399999999,0.60412861,0.7969620900000001,0.35210923000000005,0.91675802,0.424708885
Bahia,Corinthians,34,[0.2512 0.4179 0.331 ],[0.2561 0.3792 0.3647],[0.2618 0.3805 0.3577],[0.2555 0.3795 0.365 ],[0.2609 0.3798 0.3594],[0.2538 0.3783 0.3679],[0.2578 0.2721 0.4701],[0.2907 0.3349 0.3744],[0.1812 0.2924 0.5263],0.0493,0.04739170624627479,0.046979986871048596,0.04777796440704234,0.07497041551588214,0.06213161012874348,0.07668754572169001,0.68530285,0.25539813000000006,0.61298594,0.23459665,0.62586878,0.24054426499999998,0.6125255000000001,0.234252625,0.6226852100000001,0.23928265500000004,0.60707574,0.23198242500000008,0.42129326,0.173627425,0.5880398599999999,0.23794092499999994,0.34272289,0.12856520500000002,0.91675802,0.424708885
Internacional,Goiás,34,[0.6159 0.2317 0.1518],[0.5868 0.248  0.165 ],[0.5756 0.2511 0.173 ],[0.5974 0.2445 0.1578],[0.5745 0.2516 0.1737],[0.5964 0.245  0.1583],[0.5041 0.2114 0.2842],[0.6549 0.2103 0.134 ],[0.547  0.2612 0.1916],0.1354,0.1577149112177192,0.15563183638696115,0.15921978477914725,0.11322683414207567,0.135946472768458,0.15463368464575963,0.22426093999999996,0.08537946499999999,0.25946324000000004,0.09901266000000002,0.27309557,0.10507417000000001,0.24676784999999998,0.09354122999999998,0.27452449999999995,0.10564575,0.24797684999999997,0.09402350499999998,0.37137641,0.16342857500000002,0.18127609999999997,0.06863284499999998,0.31014499999999995,0.12099813999999999,0.36215801999999997,0.147408885
Fluminense,Botafogo,34,[0.7892 0.1514 0.0563],[0.7499 0.1654 0.0824],[0.7277 0.1769 0.0936],[0.7533 0.1632 0.081 ],[0.734  0.1739 0.0902],[0.7605 0.1594 0.0774],[0.6955 0.1627 0.1399],[0.7667 0.1389 0.0871],[0.6881 0.193  0.1175],0.1382,0.1296834006792825,0.13196489209235282,0.12746887505034585,0.11974230679817197,0.07695372579215828,0.12780505439302506,0.07052829,0.023987304999999997,0.09669692999999999,0.034864694999999994,0.11420185999999999,0.04162584499999999,0.09405613000000002,0.03391969500000001,0.10913325000000001,0.03962101000000001,0.08875937000000002,0.03189177500000002,0.13876354999999999,0.05641554999999999,0.08130850999999999,0.03169676999999998,0.14833686,0.055710389999999985,0.36215801999999997,0.147408885
São Paulo,Palmeiras,34,[0.8322 0.1062 0.0484],[0.8083 0.1178 0.0634],[0.7966 0.1248 0.0696],[0.8124 0.1161 0.0609],[0.7987 0.1232 0.0687],[0.8149 0.1141 0.0598],[0.7299 0.1347 0.1282],[0.7335 0.151  0.109 ],[0.6404 0.2171 0.1418],0.1129,0.11114136553297103,0.11033400799813305,0.11171881452172346,0.08495980531705677,0.09452574133858291,0.12868193680802711,0.04177783999999998,0.016062819999999988,0.05464528999999999,0.021160174999999993,0.06179076000000001,0.023815260000000005,0.052381779999999996,0.020209184999999998,0.060419620000000014,0.02335483000000001,0.05085686000000002,0.019714225000000016,0.10753333999999999,0.04566950499999999,0.10570424999999999,0.04220237499999998,0.19655181,0.07480945000000001,0.36215801999999997,0.147408885
Atlético-MG,Figueirense,34,[0.7157 0.1933 0.0897],[0.7133 0.1869 0.0984],[0.7127 0.1887 0.0973],[0.7267 0.1804 0.0913],[0.7058 0.1915 0.1015],[0.7193 0.1834 0.0958],[0.6149 0.1889 0.1953],[0.7324 0.1604 0.1033],[0.544  0.2451 0.2106],0.0852,0.08682153965219516,0.0886467327497881,0.08535638236848736,0.08879388398664707,0.07539042772242746,0.11625018952500826,1.1710374699999997,0.26025459,1.1796110599999998,0.259379445,1.17561627,0.25883247000000004,1.2081727400000002,0.26836293,1.16212814,0.254351185,1.1934056900000003,0.26343101500000005,1.07412731,0.20829862999999998,1.2520088100000002,0.27395840500000007,0.9101623700000001,0.17020745,0.8609580199999999,0.156308885
Criciúma,Grêmio,34,[0.1902 0.442  0.3678],[0.2011 0.3987 0.4001],[0.1939 0.3949 0.4111],[0.1976 0.395  0.4074],[0.1999 0.399  0.4011],[0.2042 0.3993 0.3965],[0.2078 0.2899 0.5023],[0.2408 0.3803 0.3789],[0.2965 0.3416 0.3619],0.0156,0.02338914910300383,0.02348884480325599,0.022907651872556656,0.04250866459846628,0.02208193223805896,0.022582443922475645,0.63121688,0.21792644,0.55928291,0.20010063,0.5403464299999999,0.19214133,0.54624552,0.19511026,0.5578422199999999,0.19932060999999998,0.5653503799999999,0.20295494499999994,0.37492814,0.145443065,0.58837794,0.22187492499999997,0.61177442,0.24754193000000002,0.91675802,0.424708885
Chapecoense,Vitória,34,[0.5908 0.254  0.1549],[0.5361 0.2666 0.1971],[0.5336 0.268  0.1982],[0.5513 0.2593 0.1892],[0.5294 0.2702 0.2003],[0.5468 0.2616 0.1914],[0.4944 0.2209 0.2845],[0.6126 0.2307 0.1563],[0.3446 0.2906 0.3648],0.0657,0.0825598536359327,0.0848147818369159,0.0793612130318694,0.09444432150099105,0.061505967370386994,0.1235282101557138,1.12775465,0.5313658849999999,1.00312718,0.46586527,0.9994362000000001,0.46364578,1.02856482,0.48050204500000004,0.99279249,0.459812265,1.0212587599999998,0.47625041999999995,0.80516842,0.378042745,1.1403309400000001,0.543216905,0.60667656,0.2611141,0.91675802,0.424708885
Botafogo,Figueirense,35,[0.4668 0.2981 0.2351],[0.5233 0.2702 0.2064],[0.527  0.2711 0.2018],[0.5389 0.2638 0.1972],[0.5188 0.2737 0.2074],[0.5296 0.2667 0.2036],[0.4095 0.2292 0.3612],[0.6315 0.2116 0.1559],[0.3813 0.2883 0.3304],0.0959,0.08546950208332338,0.0875051015372419,0.08321299192550628,0.10951310889981991,0.05156579966224426,0.11429106508804203,0.8918378600000001,0.40148712499999994,0.97665189,0.451742575,0.98834745,0.45734631000000003,1.00449149,0.467370255,0.97227989,0.44860485,0.98585801,0.45728493000000003,0.6282883300000001,0.287813975,1.15607162,0.5548054299999999,0.6768707399999999,0.29687692499999996,0.91675802,0.424708885
Fluminense,Chapecoense,35,[0.7067 0.2006 0.0916],[0.7005 0.1971 0.1014],[0.6873 0.2026 0.1092],[0.7076 0.1928 0.0985],[0.6884 0.2028 0.1079],[0.7089 0.1929 0.097 ],[0.6179 0.1932 0.1881],[0.7539 0.1591 0.0839],[0.6681 0.2067 0.1243],0.0006,0.0007680443275524132,0.0008623705006281789,0.0007105352727943208,0.0030459361810109666,0.0008509667824289153,0.0013150276193978497,1.36485581,0.661309695,1.33703062,0.648193505,1.3069526900000001,0.632152055,1.35057185,0.6557095649999999,1.31086481,0.634066405,1.35515862,0.6578919449999999,1.07830826,0.51984213,1.4329172300000002,0.7009719100000001,1.25593299,0.60581673,0.91675802,0.424708885
Atlético-PR,Santos,35,[0.5012 0.2946 0.2041],[0.4764 0.2847 0.2388],[0.471  0.2855 0.2435],[0.4785 0.2816 0.2397],[0.4721 0.2871 0.2407],[0.4797 0.2834 0.2369],[0.4342 0.2355 0.3302],[0.5248 0.2548 0.2203],[0.3759 0.275  0.3491],0.1247,0.12812569429271498,0.12858056511407592,0.12777510017581545,0.11072001033129335,0.1201404414776091,0.13006441831107793,0.79044741,0.14644954500000001,0.79563649,0.14201508999999998,0.7916435,0.140566625,0.8025168999999998,0.14325714999999997,0.7890413100000001,0.14043153,0.79974926,0.14311685000000002,0.8820219299999998,0.14881387,0.8792701700000001,0.16199560500000001,0.78879662,0.13158581,0.8609580199999999,0.156308885
Vitória,Coritiba,35,[0.5099 0.274  0.2159],[0.4942 0.2726 0.233 ],[0.4873 0.2733 0.2393],[0.4872 0.2729 0.2398],[0.4924 0.273  0.2346],[0.493  0.2726 0.2343],[0.4404 0.2197 0.3397],[0.4333 0.2672 0.2994],[0.387  0.3021 0.3109],0.1225,0.1257081529498304,0.1258994504670195,0.12580300929866622,0.10291887554386633,0.12678687592860205,0.1345335060790119,0.83368682,0.15334862999999999,0.8276334000000001,0.14930796,0.8228186700000001,0.14738683000000002,0.8235422900000001,0.14745793000000001,0.8260239199999999,0.14874745999999997,0.8270562499999999,0.14899618499999998,0.9182163400000001,0.154742105,0.81438509,0.13872457500000002,0.7334922199999999,0.12321390499999998,0.8609580199999999,0.156308885
Criciúma,Bahia,35,[0.4255 0.3688 0.2057],[0.3807 0.3622 0.2571],[0.3617 0.3682 0.2702],[0.3815 0.3586 0.2599],[0.3704 0.3682 0.2614],[0.3925 0.3576 0.2499],[0.3876 0.2743 0.3381],[0.404  0.3323 0.2637],[0.3803 0.3428 0.2769],0.1157,0.14324709289609572,0.147450360458191,0.1387318712856259,0.1492589711098671,0.130652965954465,0.140190315295864,0.9479761800000001,0.40598137,0.8280217400000001,0.34841645,0.7990061700000001,0.33179045500000004,0.8218842199999999,0.34664512999999997,0.8182973599999999,0.34136306000000005,0.84458402,0.35835313,0.66358586,0.29417268499999993,0.8157769799999999,0.35267684499999996,0.7850135400000001,0.33375085000000004,0.91675802,0.424708885
