Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Flamengo,Coritiba,34,[0.5557 0.262  0.1821],[0.5603 0.2626 0.1769],[0.5536 0.2626 0.1836],[0.5581 0.2626 0.1791],[0.5522 0.2624 0.1853],[0.5366 0.2456 0.2175],[0.5358 0.2096 0.2542],[0.6399 0.2284 0.131 ],0.016092533952759645,0.01538185102157962,0.016110889625033212,0.015615871540404386,0.01634854402114872,0.02500678031602306,0.029214333291090522,0.023,[0.4186 0.2986 0.2827],0.01361868978287835,0.19899957,0.07350869499999997,1,0.29920690000000005,0.11531791000000001,1,0.30194068,0.11652772000000002,1,0.29358845999999994,0.11235027,1,0.30371469,0.117449005,1,0.29631117999999995,0.11371206999999998,1,0.32403143999999995,0.14015147999999997,1,0.32236517000000003,0.13108824500000002,1,0.5071072099999999,0.20900090499999993,1,0.36215801999999997,0.147408885,1
Santos,Cruzeiro,34,[0.4441 0.2648 0.291 ],[0.4363 0.2682 0.2953],[0.4355 0.2659 0.2985],[0.444  0.2664 0.2895],[0.4435 0.2641 0.2923],[0.3917 0.2474 0.3606],[0.3911 0.2156 0.393 ],[0.4718 0.2738 0.2542],0.0885456073186031,0.09187940520734468,0.09015270271610898,0.08983608997918913,0.08807957380349275,0.07767157879389343,0.0947139784729902,0.0843,[0.2425 0.2548 0.5024],0.12168196961098039,0.8537793200000001,0.38925732,0,0.7700248500000002,0.34988201500000005,0,0.75246531,0.34081111000000003,0,0.7588910200000001,0.34333899,0,0.76728035,0.34869501,0,0.7729152100000001,0.35090208500000003,0,0.56789157,0.260522095,1,0.62346801,0.28093889499999997,0,0.37133505000000006,0.153056815,1,0.91675802,0.424708885,0
Atlético-PR,Sport,34,[0.6346 0.2336 0.1314],[0.6362 0.231  0.1324],[0.6297 0.2352 0.1348],[0.6404 0.2303 0.1289],[0.6332 0.2348 0.1316],[0.6657 0.209  0.1245],[0.5834 0.2151 0.2012],[0.6675 0.234  0.0981],0.06131845105556176,0.06039073981854267,0.062267901057198045,0.059795798306372806,0.06181204477693724,0.050974118740334896,0.08637445214350145,0.0511,[0.4214 0.3043 0.2742],0.1162913438850003,1.31373586,0.6291293299999999,0,1.2117520800000001,0.57824428,0,1.20041217,0.572287095,0,1.2108412,0.5783932199999999,0,1.2101918400000002,0.5771831999999999,0,1.2219654599999998,0.5841154049999999,0,1.02470501,0.48897894999999997,0,1.2533377399999999,0.60412861,0,0.7969620900000001,0.35210923000000005,0,0.91675802,0.424708885,0
Bahia,Corinthians,34,[0.2561 0.3792 0.3647],[0.2554 0.3799 0.3647],[0.2617 0.3812 0.3571],[0.2538 0.3785 0.3678],[0.2608 0.3801 0.3591],[0.2907 0.3349 0.3744],[0.2578 0.2721 0.4701],[0.2512 0.4179 0.331 ],0.04739170624627479,0.047176712888914764,0.04646453905559146,0.04771848559242632,0.04685742624541187,0.06213161012874348,0.07497041551588214,0.0493,[0.1812 0.2924 0.5263],0.07668754572169001,0.68530285,0.25539813000000006,0,0.61298594,0.23459665,0,0.6271207400000001,0.24090365000000002,0,0.61315926,0.234417625,0,0.62324546,0.23938472500000002,0,0.60735353,0.23210887000000005,0,0.42129326,0.173627425,1,0.5880398599999999,0.23794092499999994,1,0.34272289,0.12856520500000002,1,0.91675802,0.424708885,0
Internacional,Goiás,34,[0.5868 0.248  0.165 ],[0.5969 0.2449 0.1579],[0.5755 0.2514 0.1729],[0.5962 0.2451 0.1584],[0.5743 0.2518 0.1737],[0.6549 0.2103 0.134 ],[0.5041 0.2114 0.2842],[0.6159 0.2317 0.1518],0.1577149112177192,0.15945270878605264,0.15597200804845643,0.15933162946504584,0.15584253243175136,0.135946472768458,0.11322683414207567,0.1354,[0.547  0.2612 0.1916],0.15463368464575963,0.22426093999999996,0.08537946499999999,1,0.25946324000000004,0.09901266000000002,1,0.27329662,0.10508195,1,0.24739803000000002,0.09375847000000001,1,0.27479541999999996,0.10573086999999999,1,0.24821901000000007,0.09412011000000003,1,0.37137641,0.16342857500000002,1,0.18127609999999997,0.06863284499999998,1,0.31014499999999995,0.12099813999999999,1,0.36215801999999997,0.147408885,1
Fluminense,Botafogo,34,[0.7499 0.1654 0.0824],[0.7529 0.1636 0.0811],[0.7276 0.1771 0.0935],[0.7603 0.1596 0.0774],[0.7337 0.1741 0.0903],[0.7667 0.1389 0.0871],[0.6955 0.1627 0.1399],[0.7892 0.1514 0.0563],0.1296834006792825,0.12848099792181666,0.13260313682191005,0.1276661443841536,0.13223691622961753,0.07695372579215828,0.11974230679817197,0.1382,[0.6881 0.193  0.1175],0.12780505439302506,0.07052829,0.023987304999999997,1,0.09669692999999999,0.034864694999999994,1,0.11430842,0.04164354499999999,1,0.09440057999999998,0.03401820999999999,1,0.10938059,0.03971006999999999,1,0.08891901,0.03193969500000001,1,0.13876354999999999,0.05641554999999999,1,0.08130850999999999,0.03169676999999998,1,0.14833686,0.055710389999999985,1,0.36215801999999997,0.147408885,1
São Paulo,Palmeiras,34,[0.8083 0.1178 0.0634],[0.8122 0.1163 0.061 ],[0.7965 0.1251 0.0696],[0.8148 0.1142 0.0598],[0.7987 0.1233 0.0686],[0.7335 0.151  0.109 ],[0.7299 0.1347 0.1282],[0.8322 0.1062 0.0484],0.11114136553297103,0.11333747222194038,0.11197982792309476,0.11184787128047705,0.11064112971233353,0.09452574133858291,0.08495980531705677,0.1129,[0.6404 0.2171 0.1418],0.12868193680802711,0.04177783999999998,0.016062819999999988,1,0.05464528999999999,0.021160174999999993,1,0.061906420000000004,0.023818125000000002,1,0.05251552999999999,0.020245669999999993,1,0.06043054000000002,0.023347025000000014,1,0.05091672000000001,0.019732740000000012,1,0.10753333999999999,0.04566950499999999,1,0.10570424999999999,0.04220237499999998,1,0.19655181,0.07480945000000001,1,0.36215801999999997,0.147408885,1
Atlético-MG,Figueirense,34,[0.7133 0.1869 0.0984],[0.7261 0.1808 0.0915],[0.712  0.1893 0.0975],[0.7192 0.1835 0.0958],[0.7055 0.1917 0.1016],[0.7324 0.1604 0.1033],[0.6149 0.1889 0.1953],[0.7157 0.1933 0.0897],0.08682153965219516,0.08377945773677975,0.0872369413091714,0.08538169084839176,0.08872082787052178,0.07539042772242746,0.08879388398664707,0.0852,[0.544  0.2451 0.2106],0.11625018952500826,1.1710374699999997,0.26025459,0,1.1796110599999998,0.259379445,0,1.17368474,0.258343565,0,1.2066821,0.26794569,0,1.1614017000000003,0.254149765,0,1.19309853,0.26335908999999996,0,1.07412731,0.20829862999999998,0,1.2520088100000002,0.27395840500000007,0,0.9101623700000001,0.17020745,0,0.8609580199999999,0.156308885,0
Criciúma,Grêmio,34,[0.2011 0.3987 0.4001],[0.1977 0.3955 0.4068],[0.1936 0.3955 0.4108],[0.2043 0.3995 0.3962],[0.1998 0.3993 0.4009],[0.2408 0.3803 0.3789],[0.2078 0.2899 0.5023],[0.1902 0.442  0.3678],0.02338914910300383,0.024440303775213945,0.02493420317128869,0.022864450795270053,0.023436056717331583,0.02208193223805896,0.04250866459846628,0.0156,[0.2965 0.3416 0.3619],0.022582443922475645,0.63121688,0.21792644,0,0.55928291,0.20010063,1,0.54105785,0.19225989,1,0.54739178,0.19548576499999998,1,0.55828134,0.19942042499999998,1,0.56591318,0.203156465,0,0.37492814,0.145443065,1,0.58837794,0.22187492499999997,0,0.61177442,0.24754193000000002,1,0.91675802,0.424708885,0
Chapecoense,Vitória,34,[0.5361 0.2666 0.1971],[0.5505 0.2598 0.1895],[0.5332 0.2684 0.1982],[0.5466 0.2617 0.1915],[0.5291 0.2704 0.2004],[0.6126 0.2307 0.1563],[0.4944 0.2209 0.2845],[0.5908 0.254  0.1549],0.0825598536359327,0.07823186488204824,0.08363076482250827,0.07943746638400348,0.08494666124520113,0.061505967370386994,0.09444432150099105,0.0657,[0.3446 0.2906 0.3648],0.1235282101557138,1.12775465,0.5313658849999999,0,1.00312718,0.46586527,0,0.9992240400000001,0.46343242000000007,0,1.02745654,0.47981819,0,0.9924231299999999,0.45957353500000003,0,1.0209307,0.476060245,0,0.80516842,0.378042745,0,1.1403309400000001,0.543216905,0,0.60667656,0.2611141,1,0.91675802,0.424708885,0
