Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Grêmio,Cruzeiro,20,[0.6294 0.3118 0.0587],[0.5728 0.3459 0.0813],[0.5678 0.3507 0.0815],[0.5787 0.3489 0.0723],[0.5664 0.3477 0.0858],[0.5787 0.3447 0.0766],[0.5816 0.2976 0.1208],[0.8014 0.1652 0.0324],[0.5415 0.3119 0.1465],0.0733,0.06811277144298392,0.07066062604889463,0.06524070184508418,0.09679238476468788,0.047138441428633285,0.10649214249153147,0.8732092899999998,0.19980090499999997,0.76255634,0.167354765,0.7506295799999999,0.164519545,0.76405219,0.17006772999999997,0.75366589,0.16409389000000002,0.7701793399999999,0.17038062499999998,0.84621696,0.1764256,1.3401827599999998,0.32167926,0.7881661099999998,0.15735691,0.8609580199999999,0.156308885
Chapecoense,Atlético-PR,20,[0.4157 0.3283 0.2559],[0.4115 0.2928 0.2956],[0.4    0.2928 0.3072],[0.4659 0.2717 0.2623],[0.3871 0.2991 0.3137],[0.4472 0.2808 0.272 ],[0.3344 0.2837 0.3818],[0.5228 0.2605 0.2166],[0.5206 0.257  0.2222],0.0755,0.07912880026405891,0.07514588299955878,0.08495565163336073,0.07240472874490941,0.09176258350332034,0.09305530720710364,0.51467219,0.20347125000000002,0.51944345,0.21688537500000002,0.54010368,0.22718591999999996,0.42788499,0.17705829,0.56351491,0.23705843000000001,0.45842047999999996,0.18978591999999997,0.6692802899999999,0.29443549,0.34249564999999993,0.13733936999999996,0.34524620000000006,0.13964308000000003,0.36215801999999997,0.147408885
Sport,América-MG,20,[0.4592 0.3052 0.2356],[0.4961 0.26   0.2436],[0.4973 0.2607 0.2418],[0.5331 0.2493 0.2173],[0.4817 0.2633 0.2548],[0.5141 0.2536 0.2321],[0.3632 0.2663 0.3704],[0.5068 0.2286 0.264 ],[0.4683 0.2928 0.2389],0.0375,0.03962512995987583,0.04196806928424395,0.03691182675925051,0.06435016960217883,0.0360951767531235,0.04141014698149368,0.88831904,0.397586,0.8858561699999998,0.408901255,0.89013902,0.410935665,0.9589653899999999,0.44817273,0.85668482,0.393529965,0.9182821800000001,0.42683107000000003,0.5992260899999999,0.26409225,0.8508001999999999,0.3988298800000001,0.88430994,0.39928905,0.91675802,0.424708885
Flamengo,Vitória,20,[0.8713 0.0782 0.0286],[0.8571 0.0868 0.0375],[0.8571 0.088  0.0374],[0.8684 0.0777 0.0315],[0.8534 0.0899 0.0394],[0.8636 0.0809 0.034 ],[0.7997 0.1167 0.0705],[0.7893 0.1225 0.0763],[0.5835 0.2234 0.1924],0.0693,0.06896978940403738,0.07089737097187027,0.06544492610372835,0.06313969799543714,0.06315997453128663,0.10908710476261327,0.02349689000000001,0.009796775000000006,0.02936090000000001,0.011956790000000007,0.029563170000000007,0.011870335000000008,0.024348100000000015,0.010362765000000012,0.031125929999999986,0.012502869999999992,0.02630576999999999,0.011073729999999993,0.058709230000000015,0.023640330000000008,0.06522243,0.026157670000000008,0.26039756999999997,0.105380175,0.36215801999999997,0.147408885
Atlético-MG,Vasco,20,[0.8157 0.0975 0.0589],[0.7684 0.1244 0.0916],[0.7723 0.121  0.0892],[0.7791 0.1187 0.0846],[0.7682 0.1239 0.0918],[0.7748 0.1217 0.0874],[0.7062 0.1381 0.1372],[0.8175 0.0915 0.0582],[0.5662 0.2185 0.2144],0.012,0.014813434044819478,0.014398413928972656,0.014910022378102517,0.008811124681487488,0.009807441001080663,0.046401780945115004,1.4833419499999998,0.33683957,1.36550448,0.30108688,1.37704493,0.30406921499999995,1.39084366,0.30887570500000006,1.36610969,0.30101642999999995,1.37936469,0.30564325,1.2604138900000001,0.26165159000000004,1.4970657399999998,0.338831545,0.97729205,0.18346867,0.8609580199999999,0.156308885
Palmeiras,Botafogo,20,[0.787  0.1565 0.054 ],[0.7542 0.1693 0.0748],[0.7562 0.1663 0.0755],[0.7871 0.149  0.0611],[0.7408 0.1771 0.0805],[0.7705 0.161  0.0664],[0.6958 0.1869 0.1157],[0.8393 0.11   0.0428],[0.6157 0.2209 0.1627],0.1642,0.16019430782921254,0.15904346938982214,0.16490324949072893,0.1300493587931042,0.14616988550316445,0.11715582208114035,0.07277724999999999,0.024283749999999993,0.09467517,0.03313639000000001,0.09279438000000001,0.03272434500000001,0.07126061999999998,0.024708729999999995,0.1050293,0.03696380499999999,0.08300021000000002,0.02868345500000001,0.14085574000000003,0.053149745000000005,0.039756329999999986,0.01422869499999999,0.22295458999999998,0.08719326999999998,0.36215801999999997,0.147408885
Paraná,São Paulo,20,[0.0958 0.2981 0.6061],[0.1215 0.281  0.5974],[0.1183 0.2702 0.6114],[0.1313 0.2871 0.5815],[0.1161 0.2754 0.6085],[0.1284 0.2923 0.5792],[0.0952 0.1998 0.7042],[0.1751 0.244  0.5806],[0.1355 0.2903 0.5742],0.0942,0.09982539391214293,0.09789603008849276,0.10167233723480387,0.08811178798010004,0.1134265829808437,0.1047944805869778,0.86919846,0.18826742500000004,0.8886100100000001,0.18588425499999994,0.9204128900000002,0.19396357499999994,0.86360835,0.17774912999999998,0.9087966199999999,0.19187573000000002,0.8527984900000001,0.17603753,1.1452807200000001,0.25304434,0.93929237,0.184052455,0.8517399800000001,0.17403294500000005,0.8609580199999999,0.156308885
Ceará,Santos,20,[0.3047 0.4153 0.28  ],[0.3174 0.3591 0.3235],[0.3134 0.3569 0.3297],[0.3264 0.352  0.3216],[0.314  0.3581 0.3279],[0.3264 0.3541 0.3195],[0.2909 0.3226 0.3865],[0.3442 0.3209 0.3349],[0.2296 0.3637 0.4067],0.1251,0.12776622126625228,0.12799396019141196,0.1290262912070075,0.13240441253161292,0.13476617966635074,0.11947148326239711,0.51311618,0.085621045,0.61614782,0.10269750500000001,0.62049926,0.103460825,0.6298675199999999,0.10498176000000001,0.6181500200000001,0.10305720500000003,0.6258040199999999,0.10430860499999997,0.69287582,0.11700253000000002,0.6918084600000001,0.115315825,0.62299874,0.10906052499999999,0.8609580199999999,0.156308885
Fluminense,Corinthians,20,[0.3236 0.3421 0.3342],[0.3465 0.3164 0.3371],[0.307  0.3232 0.3697],[0.3483 0.3148 0.3368],[0.3263 0.3206 0.353 ],[0.3727 0.3102 0.317 ],[0.2737 0.2807 0.4456],[0.4335 0.2654 0.301 ],[0.5336 0.237  0.229 ],0.1406,0.14219763216999354,0.1399455882661737,0.14434272302587411,0.10097814088947474,0.11238102022940918,0.10686223842658106,0.6862390100000001,0.28463673000000006,0.64080762,0.27034932999999994,0.72138533,0.3085005250000001,0.63724617,0.269107255,0.6812650499999999,0.28927565499999996,0.59021833,0.247028855,0.8048635399999998,0.3630355249999999,0.48196041,0.20579173499999998,0.32613896000000003,0.13507674000000003,0.36215801999999997,0.147408885
Bahia,Internacional,20,[0.2277 0.3122 0.4601],[0.242  0.3089 0.4491],[0.2363 0.3109 0.4528],[0.2497 0.3237 0.4266],[0.2376 0.3043 0.4581],[0.2529 0.3172 0.4299],[0.2228 0.2455 0.5313],[0.271  0.2802 0.4487],[0.3731 0.3007 0.3262],0.1633,0.17063661211279155,0.16930156055899315,0.17138648876295695,0.12221494539700492,0.13612445088127245,0.12409226981397277,0.44080814,0.17166965,0.4574740199999999,0.18102740499999997,0.45192434000000004,0.177632765,0.49591934000000004,0.19556882500000003,0.44270786000000006,0.17505468500000004,0.48958826000000005,0.19448621000000005,0.32958978,0.13447244500000002,0.45588473000000007,0.18863122499999999,0.68363054,0.29660502499999997,0.91675802,0.424708885
