Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Atlético-PR,Santos,35,[0.3823 0.3028 0.3149],[0.3995 0.2825 0.318 ],[0.3967 0.2832 0.32  ],[0.4008 0.2804 0.3187],[0.397  0.2847 0.3182],[0.4011 0.2822 0.3167],[0.3122 0.2279 0.4597],[0.4719 0.2506 0.2772],[0.3412 0.267  0.3918],0.1331,0.1319182486897803,0.13243493155618632,0.131812223283821,0.10726258660528823,0.118964033435672,0.12692429361530522,0.7314031400000001,0.12265764999999998,0.7755305,0.13036212500000002,0.7735731299999999,0.12991745500000002,0.78003449,0.13113704499999998,0.77051433,0.12946195000000002,0.77641694,0.13059004999999999,0.90493134,0.15448844499999997,0.8611298100000001,0.14984797500000002,0.80721368,0.13496233999999996,0.8609580199999999,0.156308885
Vitória,Coritiba,35,[0.4337 0.3195 0.2468],[0.4366 0.2978 0.2656],[0.4372 0.2962 0.2665],[0.4327 0.2968 0.2705],[0.4387 0.2969 0.2644],[0.4346 0.2977 0.2676],[0.3576 0.2419 0.4004],[0.3765 0.2868 0.3366],[0.3352 0.3193 0.3455],0.132,0.13170751060821698,0.13155581667578914,0.13186138830407668,0.11442596758290131,0.1331683411390551,0.13489228224817046,0.7120861799999999,0.124502965,0.7542477599999999,0.13058146,0.75750053,0.13110970499999997,0.7548897800000001,0.13019976999999996,0.7567146600000001,0.131182525,0.7537122099999999,0.13027023000000001,0.8629135299999999,0.14413901,0.76370605,0.127559575,0.6950817800000001,0.11586464500000002,0.8609580199999999,0.156308885
Criciúma,Bahia,35,[0.2431 0.4507 0.3062],[0.2565 0.4009 0.3427],[0.2468 0.4027 0.3504],[0.2611 0.3986 0.3403],[0.2472 0.4044 0.3485],[0.262  0.4002 0.3378],[0.2416 0.3042 0.4542],[0.2707 0.3718 0.3575],[0.2692 0.3721 0.3587],0.1775,0.19678911937113394,0.20138785479970692,0.1941661100269464,0.20087740797350678,0.18651420432407162,0.187227888458679,0.7435865399999999,0.270228025,0.65855635,0.24898351,0.6450576899999999,0.24138025,0.6622592599999999,0.25168864999999996,0.64909945,0.24284520499999998,0.66731288,0.25357642,0.4488058400000001,0.17813410000000005,0.6243199800000001,0.24304237000000006,0.6221927399999999,0.241867165,0.91675802,0.424708885
Goiás,Corinthians,35,[0.3337 0.3881 0.2782],[0.309  0.3671 0.3239],[0.312  0.3644 0.3237],[0.3082 0.368  0.3238],[0.3126 0.3642 0.3233],[0.3088 0.3679 0.3233],[0.3192 0.2683 0.4125],[0.3082 0.3288 0.3629],[0.2478 0.3216 0.4306],0.1441,0.17006793235788983,0.16809222593951706,0.1703220304302285,0.1497503654427074,0.15741163512850043,0.17622751682506238,0.7829725399999999,0.316175465,0.6873546199999998,0.27629610499999996,0.68751305,0.27743048500000006,0.68765768,0.2761168399999999,0.6882832900000001,0.27788850500000006,0.6886307400000001,0.27664016500000005,0.5190297800000001,0.22352244499999993,0.60899309,0.250378125,0.48904776000000005,0.19281060000000003,0.91675802,0.424708885
Grêmio,Cruzeiro,35,[0.4204 0.4104 0.1693],[0.4082 0.3426 0.2492],[0.4084 0.3398 0.2518],[0.4066 0.3443 0.2491],[0.4094 0.339  0.2516],[0.4076 0.3436 0.2489],[0.3745 0.2874 0.3381],[0.3598 0.3002 0.34  ],[0.1483 0.2322 0.6191],0.0292,0.04303459194243756,0.04429553852608271,0.04276366090553425,0.06321610981840164,0.06931699685648328,0.09231379232005793,1.03522681,0.433482405,0.8477026400000001,0.3651639400000001,0.8420578399999998,0.3632968999999999,0.84771686,0.36458718500000004,0.8426319199999999,0.36385545999999996,0.84834993,0.3652196050000001,0.6609606199999999,0.28918092999999995,0.6551760799999999,0.28252802,0.22099454000000002,0.08338664999999998,0.91675802,0.424708885
São Paulo,Internacional,35,[0.4889 0.2531 0.2576],[0.507  0.2369 0.2556],[0.5077 0.2349 0.2569],[0.5112 0.2368 0.2515],[0.5069 0.2349 0.2577],[0.51   0.237  0.2525],[0.3951 0.2071 0.397 ],[0.5147 0.2145 0.2695],[0.4662 0.2579 0.2757],0.1145,0.11129507876019208,0.10985819232620912,0.11151334647693795,0.08646368952416474,0.09121133655918769,0.12264340830351357,0.8632405800000001,0.152793685,0.90470197,0.16131823,0.90913491,0.16200715,0.9070519300000001,0.16241484499999997,0.90873491,0.16180755,0.90602525,0.16205462499999998,0.9424034199999999,0.15717474499999998,0.95455659,0.16912521,0.84406534,0.146731645,0.8609580199999999,0.156308885
Palmeiras,Sport,35,[0.389  0.3424 0.2686],[0.3816 0.3121 0.3063],[0.3812 0.312  0.3067],[0.3833 0.3136 0.3031],[0.3827 0.3111 0.3062],[0.385  0.3123 0.3027],[0.3286 0.2559 0.4155],[0.4873 0.2745 0.2381],[0.3401 0.3517 0.3082],0.0441,0.05810033311261332,0.05799871143818166,0.057231763011491806,0.07673912872208968,0.040099832829197116,0.06036139328342934,0.8035047200000001,0.34313348000000005,0.72424466,0.313419125,0.72332233,0.31291984500000003,0.73093346,0.31629425,0.72460094,0.313908865,0.7319835800000001,0.317226145,0.51510302,0.224809105,0.89330315,0.40890027000000007,0.7179481400000001,0.297127625,0.91675802,0.424708885
Atlético-MG,Flamengo,35,[0.6978 0.2036 0.0974],[0.6894 0.1987 0.1109],[0.6839 0.2033 0.1118],[0.6873 0.2012 0.1106],[0.6852 0.2015 0.1123],[0.6891 0.1988 0.111 ],[0.6095 0.1944 0.1951],[0.7315 0.1537 0.109 ],[0.5458 0.2401 0.2137],0.0415,0.04656802151941879,0.045502117509311074,0.046512151584331224,0.0323915461643678,0.0568554523333156,0.024195215266732423,0.14226456000000004,0.05052412000000001,0.14825286,0.054497485,0.15374934000000004,0.05632202500000002,0.15049509,0.05510717499999999,0.15231257999999998,0.05596846499999999,0.14850124999999997,0.054613214999999986,0.22834561999999997,0.09547322999999998,0.10759693999999999,0.042652464999999994,0.30961334,0.12606830500000005,0.36215801999999997,0.147408885
Flamengo,Criciúma,36,[0.6561 0.2658 0.0779],[0.613  0.2776 0.1093],[0.6105 0.2799 0.1095],[0.6223 0.273  0.1046],[0.6056 0.2824 0.112 ],[0.6162 0.2761 0.1076],[0.5722 0.2479 0.1798],[0.6192 0.2531 0.1276],[0.4796 0.3412 0.1792],0.0877,0.09440229919729312,0.09519156087750534,0.0937051684906045,0.1045571636317901,0.10371644008993278,0.11267795226515871,0.97558526,0.21828343000000003,0.90957725,0.19386868499999999,0.90324451,0.19236121000000003,0.9267274499999999,0.19910969499999998,0.89424512,0.18964768,0.9153114099999999,0.19565086999999998,0.92539529,0.17988843000000002,0.9575500100000001,0.19985797,0.6961462400000001,0.13106440000000003,0.8609580199999999,0.156308885
Sport,Fluminense,36,[0.3105 0.3202 0.3692],[0.3249 0.2944 0.3806],[0.3248 0.2924 0.3828],[0.3284 0.2951 0.3765],[0.3231 0.2924 0.3845],[0.3262 0.295  0.3787],[0.2698 0.2334 0.4965],[0.2373 0.2567 0.5058],[0.2131 0.2873 0.4996],0.0414,0.0388303428454055,0.0395755477988534,0.03863656436877505,0.047998042699400195,0.045009958379417084,0.03057593191205923,0.69484693,0.11639637499999998,0.74828773,0.125246255,0.75272864,0.12601544,0.7464828200000001,0.12479940500000003,0.75293162,0.12611693000000002,0.7468451300000001,0.124947945,0.9069798499999998,0.159801185,0.8646398200000001,0.156173665,0.80295306,0.14750588500000003,0.8609580199999999,0.156308885
