Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Flamengo,Atlético-MG,26,[0.5534 0.2591 0.1871],[0.6032 0.2183 0.1777],[0.5947 0.222  0.1826],[0.6172 0.215  0.1669],[0.5947 0.221  0.1836],[0.6172 0.214  0.1679],[0.4147 0.2466 0.3381],[0.6555 0.1753 0.1646],[0.4724 0.2269 0.2999],0.0986,0.0991062044120379,0.09907416555706122,0.09899293003512585,0.08801279272763857,0.09205250438182636,0.09212423536595496,0.30159078,0.117303985,0.23668242000000006,0.09465656500000004,0.24689485,0.09893373500000001,0.22061645000000002,0.08734674500000002,0.24681805,0.099117535,0.22052225000000003,0.08751504500000001,0.5176992599999999,0.22864706999999995,0.17650350000000004,0.07366502500000001,0.4197853800000001,0.18439144500000001,0.36215801999999997,0.147408885
Atlético-PR,Paraná,26,[0.7859 0.1802 0.0327],[0.7491 0.1927 0.0575],[0.7445 0.1953 0.0595],[0.7529 0.1867 0.0596],[0.7447 0.1969 0.0578],[0.7539 0.1878 0.0575],[0.6521 0.2312 0.1161],[0.7193 0.1816 0.0975],[0.5831 0.2849 0.1319],0.1137,0.11987246402518843,0.11817725071927804,0.12156970814945095,0.08644404294337088,0.10153813503920348,0.0649014019495304,0.07938013999999999,0.023494729999999988,0.10339035,0.03316927000000001,0.10696258999999997,0.034452389999999986,0.09946746,0.032353604999999994,0.10728853999999997,0.034294504999999996,0.09914029999999999,0.031982369999999996,0.18796706,0.06732683,0.12127729999999998,0.04430792999999998,0.27237123,0.09561481000000002,0.36215801999999997,0.147408885
São Paulo,América-MG,26,[0.735  0.2201 0.0443],[0.744  0.1806 0.0742],[0.736  0.1844 0.0784],[0.7619 0.1696 0.0669],[0.7346 0.1861 0.0782],[0.7604 0.1713 0.0668],[0.6278 0.2358 0.1359],[0.7604 0.1511 0.0844],[0.6452 0.2158 0.1382],0.0703,0.07813106822923499,0.08047730275765233,0.07373269769347211,0.11007811161999034,0.07179906200118687,0.10123073843041883,1.1504314999999998,0.271120685,1.230458,0.2796113,1.2130459199999999,0.2740168,1.2745313800000002,0.29259321,1.2081856100000001,0.27296343,1.2694140900000002,0.29143765,0.99660329,0.206369025,1.30596273,0.29302860999999997,1.05035192,0.21780233999999998,0.8609580199999999,0.156308885
Vasco,Bahia,26,[0.4422 0.302  0.2556],[0.4969 0.2594 0.2435],[0.4878 0.2594 0.2526],[0.487  0.2628 0.25  ],[0.5    0.2574 0.2424],[0.4989 0.261  0.24  ],[0.3308 0.2572 0.4117],[0.4356 0.2367 0.3272],[0.3681 0.3265 0.3053],0.0887,0.09259820047640255,0.09315863469618722,0.09214119273447932,0.07849485757637968,0.09010007209466274,0.06441010296356547,0.4676762000000001,0.18828726000000004,0.37969021999999997,0.15624966999999998,0.3934439599999999,0.16312835999999994,0.39473284,0.16288453999999997,0.37501252,0.15442739999999996,0.37682220999999994,0.15437461499999997,0.68347737,0.308786365,0.48163409,0.21296744999999997,0.59910795,0.24628339000000002,0.36215801999999997,0.147408885
Chapecoense,Fluminense,26,[0.5884 0.2622 0.149 ],[0.5339 0.2494 0.2165],[0.5264 0.2503 0.223 ],[0.5433 0.2468 0.2097],[0.5254 0.2505 0.2238],[0.5429 0.2468 0.2099],[0.4341 0.2623 0.3033],[0.4805 0.2476 0.2716],[0.4588 0.3075 0.2337],0.039,0.054611637361888586,0.05628646406290009,0.053299021043225786,0.07419743716185576,0.06722173754913408,0.04749850094935525,1.1391644,0.53486754,0.96112182,0.4493040700000001,0.9434760500000001,0.4401799699999999,0.9806592199999999,0.45971647000000004,0.94128185,0.43903303,0.9799086600000001,0.4591833300000001,0.74263499,0.33670792999999993,0.8227525699999999,0.38050497499999997,0.8922693799999999,0.398856565,0.91675802,0.424708885
Vitória,Botafogo,26,[0.4589 0.3193 0.2218],[0.4781 0.2656 0.2561],[0.4804 0.2643 0.2552],[0.4914 0.2604 0.248 ],[0.4736 0.2678 0.2585],[0.4849 0.2641 0.2509],[0.3584 0.2737 0.3677],[0.6107 0.2134 0.1749],[0.3792 0.3132 0.3076],0.0018,0.0017189495999539077,0.0016631748545866232,0.0016999064335973305,0.0037481837567200403,0.002292065141822105,0.0007400111699469714,0.9181369399999999,0.408092225,0.85251018,0.39083467000000005,0.8553656900000001,0.39268113,0.87478612,0.40333862,0.8458360500000001,0.3869854650000001,0.86602763,0.39806451000000004,0.60316554,0.26400050499999994,1.09928406,0.5260481499999999,0.72130464,0.3116051999999999,0.91675802,0.424708885
Grêmio,Ceará,26,[0.6799 0.2762 0.0437],[0.7017 0.2435 0.0546],[0.6975 0.2466 0.0558],[0.7328 0.2219 0.045 ],[0.6941 0.2478 0.0579],[0.7307 0.2224 0.0466],[0.5927 0.2815 0.1257],[0.748  0.2135 0.0381],[0.6287 0.2699 0.1013],0.0102,0.0027193201406726293,0.0028707261319210605,0.002701366868926459,0.009209634938611183,0.002074771055449093,0.005875141702261477,0.18066014000000002,0.05219563000000002,0.1512563,0.04599298500000001,0.15543145,0.04731553499999999,0.12266045,0.03672401,0.15833205999999997,0.04847522999999998,0.12415580999999999,0.03736109499999999,0.26093603,0.09085947,0.11053786,0.032493205000000004,0.22097138999999996,0.07407282999999998,0.36215801999999997,0.147408885
Cruzeiro,Santos,26,[0.3473 0.4432 0.2094],[0.4192 0.3642 0.2165],[0.4119 0.3665 0.2216],[0.4298 0.364  0.2062],[0.4171 0.3643 0.2186],[0.4344 0.3619 0.2037],[0.3086 0.3369 0.3545],[0.399  0.2878 0.3132],[0.3142 0.3307 0.3551],0.059,0.05286730930546429,0.05290508975444694,0.0532051166046694,0.060028121145230005,0.07971762271768021,0.05687662102520445,0.66629189,0.23495377500000003,0.5168425299999999,0.19212210499999996,0.5292904200000002,0.19748408500000006,0.5001424800000001,0.18382324000000003,0.52027286,0.19377918499999996,0.49236866,0.180698525,0.71720582,0.30185210500000004,0.54212408,0.22964761999999997,0.70578014,0.29820882499999996,0.36215801999999997,0.147408885
Sport,Palmeiras,26,[0.1059 0.2861 0.6079],[0.168  0.2546 0.5772],[0.1633 0.2509 0.5855],[0.1665 0.2565 0.5769],[0.1657 0.2521 0.582 ],[0.1689 0.2575 0.5735],[0.0966 0.1838 0.7173],[0.1485 0.2312 0.6199],[0.2367 0.2837 0.4795],0.2002,0.1629095447505943,0.16176893394200034,0.1653709800297814,0.11204530835664331,0.1505407586783904,0.15312226187731,0.24681043,0.08243941,0.27180499999999996,0.1034074,0.26142794999999996,0.09911431000000001,0.27252811,0.10332563000000002,0.2657349,0.10100668499999998,0.27673570999999997,0.10517209,0.12303328999999998,0.043980504999999996,0.2199817,0.08311224999999998,0.40743282999999997,0.16342152999999998,0.91675802,0.424708885
Corinthians,Internacional,26,[0.2158 0.4436 0.3407],[0.2943 0.3676 0.338 ],[0.2982 0.3772 0.3246],[0.2989 0.3671 0.3339],[0.2986 0.3713 0.3301],[0.2985 0.3609 0.3407],[0.2194 0.2999 0.4807],[0.3176 0.3518 0.3305],[0.2528 0.2436 0.5032],0.1319,0.12503611646518303,0.1241738591474308,0.1269194823823532,0.1344056474400568,0.12953793714535422,0.11553297023687115,0.47222708999999996,0.081289005,0.6007862500000001,0.10046205500000002,0.58216824,0.09714420000000001,0.60139283,0.10044861000000002,0.59339166,0.09906398500000002,0.61362755,0.10255531,0.76934886,0.139604425,0.6302632499999999,0.105083065,0.88925904,0.15876047999999998,0.8609580199999999,0.156308885
