Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Fluminense,Palmeiras,26,[0.3765 0.2596 0.3638],[0.3907 0.2657 0.3435],[0.3952 0.2632 0.3414],[0.3914 0.2618 0.3466],[0.3977 0.2663 0.3359],[0.3942 0.2662 0.3394],[0.2942 0.2123 0.4928],[0.3737 0.2506 0.3755],[0.2352 0.252  0.5125],0.0119,0.009838289397929662,0.009327324497852578,0.009534860631558024,0.025296213148813543,0.014151297753582051,0.019699009198207343,0.61389485,0.27318773500000004,0.65423523,0.29175373,0.6592112400000001,0.29483682,0.64866476,0.28993212,0.67010979,0.29953064999999995,0.6626484400000001,0.29576092,0.38887677,0.17154819,0.5924523,0.26470110999999996,0.35647929000000006,0.146341485,0.91675802,0.424708885
Joinville,Sport,26,[0.3484 0.3452 0.3064],[0.2989 0.3342 0.3669],[0.2963 0.334  0.3697],[0.3229 0.3318 0.3454],[0.2914 0.3349 0.3737],[0.3143 0.3338 0.3518],[0.3071 0.2822 0.4107],[0.2768 0.2883 0.4349],[0.2422 0.2909 0.4669],0.1307,0.1322841952905446,0.1317775142594618,0.13291800052758185,0.12225598760270301,0.13153593291617074,0.12906375880982948,0.64402656,0.10763175999999999,0.6672464599999999,0.11197841,0.6680277799999998,0.11223588999999998,0.6700568100000001,0.11174825499999999,0.66692366,0.112282825,0.66637017,0.111309055,0.77822174,0.13149245000000004,0.7722731399999999,0.132878125,0.7794792600000001,0.138328225,0.8609580199999999,0.156308885
São Paulo,Chapecoense,26,[0.6548 0.2294 0.1154],[0.6263 0.2447 0.1287],[0.6317 0.2416 0.1264],[0.6516 0.2325 0.1155],[0.6248 0.2448 0.1301],[0.6404 0.238  0.1213],[0.5679 0.2301 0.2018],[0.6956 0.2174 0.0866],[0.54   0.2754 0.1844],0.1052,0.11487788328520321,0.11407520079673272,0.11157684866343981,0.07943656521736366,0.11351286043744875,0.12372124169797115,1.0359045599999999,0.22108642000000003,0.9792934699999999,0.20444639,0.99019241,0.20754893500000002,1.0269790599999997,0.219007765,0.9776280900000001,0.203689645,1.0054698499999999,0.21244940499999998,0.95597966,0.18165722499999998,1.10382168,0.24571426000000002,0.85064852,0.1628386,0.8609580199999999,0.156308885
Goiás,Ponte Preta,26,[0.5229 0.3118 0.1653],[0.4891 0.3169 0.1939],[0.4662 0.3269 0.2069],[0.5268 0.3004 0.1727],[0.4623 0.3291 0.2085],[0.5208 0.3039 0.1753],[0.4629 0.2831 0.254 ],[0.4638 0.2819 0.2542],[0.5165 0.2655 0.2178],0.0299,0.036188065732025286,0.0373599363366186,0.03374823496216829,0.04989151273582834,0.05783076583111137,0.052219839955334635,1.06736774,0.48507425000000004,0.98944163,0.4444274100000001,0.9532136600000001,0.42317502500000004,1.0521836900000001,0.48088904500000007,0.94850035,0.42001763,1.04371794,0.475681365,0.85093802,0.385396205,0.85079569,0.38558947000000005,0.94909934,0.439148145,0.91675802,0.424708885
Figueirense,Avaí,26,[0.5642 0.2276 0.2076],[0.5491 0.2379 0.2126],[0.5458 0.238  0.2158],[0.5426 0.2409 0.2162],[0.5512 0.2359 0.2124],[0.5516 0.2376 0.2104],[0.4697 0.2135 0.3163],[0.5412 0.2233 0.2347],[0.3231 0.3304 0.3465],0.0588,0.06568381868223942,0.06436914294188394,0.06553225556393287,0.06834386613862979,0.05416858214254319,0.15330415751948487,0.99802116,0.4726346200000001,0.97810598,0.46043998500000005,0.9695112799999999,0.45612011999999996,0.96679001,0.45414355,0.9797840099999999,0.46167405000000006,0.9841844799999999,0.46354968,0.7336460300000001,0.34369029000000006,0.9284444199999999,0.438679165,0.6406200200000001,0.26572793,0.91675802,0.424708885
Atlético-PR,Grêmio,26,[0.3013 0.329  0.3696],[0.3633 0.3039 0.3327],[0.354  0.3034 0.3425],[0.3837 0.3015 0.3147],[0.3532 0.3038 0.343 ],[0.3816 0.3022 0.3162],[0.2551 0.2567 0.4881],[0.4979 0.254  0.2478],[0.379  0.2687 0.3522],0.0637,0.0672095551915808,0.06868421845165508,0.0651196661761209,0.08603200138270566,0.06145948078771502,0.0786253579119688,0.5964268500000001,0.24402989500000005,0.6696313899999999,0.28857137000000005,0.6496738099999999,0.278745385,0.70776403,0.30836237000000005,0.64869368,0.27819962000000004,0.70452584,0.30660049999999994,0.39301251000000004,0.16350763000000001,0.8782252500000001,0.4066290550000001,0.63548553,0.28157814999999997,0.91675802,0.424708885
Flamengo,Coritiba,26,[0.6281 0.2492 0.1225],[0.6156 0.2487 0.1355],[0.6005 0.2533 0.146 ],[0.6294 0.2451 0.1253],[0.6037 0.2513 0.1447],[0.6343 0.2421 0.1233],[0.559  0.2382 0.2026],[0.6227 0.2142 0.1622],[0.6642 0.2355 0.1   ],0.0171,0.01966372135355012,0.021443941587951106,0.0173633957811879,0.030517801325925374,0.022883911781688842,0.01300124125764579,1.2266165,0.58208247,1.1881753000000002,0.5629889450000001,1.15407714,0.5447873650000001,1.22131846,0.5804473249999998,1.15914347,0.5477393899999999,1.22955179,0.5852067699999999,1.005067,0.4740044400000001,1.13554577,0.544078855,1.3066218900000002,0.6253109099999998,0.91675802,0.424708885
Santos,Atlético-MG,26,[0.4911 0.2395 0.269 ],[0.4538 0.2392 0.3066],[0.4454 0.241  0.3133],[0.463  0.24   0.2966],[0.4438 0.2398 0.316 ],[0.4613 0.238  0.3002],[0.4001 0.2128 0.3864],[0.5811 0.193  0.2228],[0.4407 0.2361 0.3227],0.0192,0.016081966252208146,0.015271039424828665,0.016753807450757784,0.011829592278246212,0.029484058596543905,0.015201951111789489,0.38870046,0.16577786500000005,0.44955464,0.19629180000000004,0.46381904999999995,0.20296310499999998,0.4339405599999999,0.18828907999999994,0.46671848,0.20473378000000003,0.43696172999999994,0.19030921499999995,0.55446881,0.254863455,0.2623660500000001,0.11325881500000001,0.47269499,0.20863749,0.36215801999999997,0.147408885
Internacional,Corinthians,26,[0.269  0.2854 0.4455],[0.2549 0.3033 0.4417],[0.2404 0.3063 0.4533],[0.2588 0.307  0.4342],[0.244  0.3045 0.4515],[0.2657 0.3039 0.4304],[0.2192 0.2189 0.5615],[0.3249 0.246  0.4287],[0.2923 0.2416 0.4657],0.0603,0.05315414213197171,0.05047908928430157,0.055311650128284255,0.05420958432226347,0.0766163758919717,0.07133165630855828,0.81428441,0.366460185,0.8422637900000001,0.37518063,0.87629274,0.39123652500000006,0.8321560800000001,0.3689535400000001,0.8681085,0.387694125,0.8167958599999999,0.36222032499999995,0.9728480999999999,0.4626902049999999,0.7000597000000001,0.31994349000000005,0.77608634,0.35904433,0.36215801999999997,0.147408885
Cruzeiro,Vasco,26,[0.7418 0.1946 0.0629],[0.727  0.2106 0.062 ],[0.7194 0.2145 0.0657],[0.7551 0.1915 0.0528],[0.7178 0.2157 0.066 ],[0.7508 0.1949 0.0536],[0.6874 0.1947 0.1172],[0.6383 0.2571 0.1044],[0.5102 0.3697 0.1201],0.0119,0.00970322599172821,0.01029676192526595,0.008886998248368569,0.025240860377433696,0.014909162776744396,0.006530262488152691,1.20289281,0.277156345,1.15552536,0.26621145999999996,1.1388631,0.26095286500000003,1.2266361000000001,0.286513965,1.13471933,0.25982967,1.2147596100000002,0.28332481000000004,1.13476269,0.24320983000000002,0.97022666,0.20918404499999999,0.6720061400000001,0.13736402500000003,0.8609580199999999,0.156308885
