Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Flamengo,Figueirense,26,[0.6633 0.2505 0.0858],[0.6315 0.2419 0.1263],[0.6226 0.2461 0.131 ],[0.6646 0.2238 0.1112],[0.6194 0.2477 0.1327],[0.6604 0.2261 0.1131],[0.653  0.1979 0.1485],[0.7444 0.1645 0.0885],[0.657  0.214  0.1282],0.1449,0.14771818296956976,0.14478376129406761,0.15302619119913904,0.13496881091558013,0.13753983891756524,0.13683365993460825,0.18347878,0.060398745000000004,0.21025955000000002,0.07590995000000003,0.22015696999999998,0.07983526999999999,0.17494504000000002,0.06247394000000001,0.22382094000000005,0.08125940500000002,0.17924098000000002,0.06410528500000001,0.18162565999999997,0.07132008499999999,0.10022386000000001,0.036818665000000014,0.17988023999999997,0.06714531999999998,0.36215801999999997,0.147408885
Corinthians,Palmeiras,26,[0.4116 0.3062 0.2821],[0.4353 0.2767 0.2879],[0.451  0.2714 0.2775],[0.4597 0.2757 0.2646],[0.4327 0.2755 0.2917],[0.4414 0.2801 0.2785],[0.4014 0.2438 0.3547],[0.4275 0.2619 0.3105],[0.3851 0.2623 0.3524],0.0428,0.0500092495860278,0.0505818842634899,0.048595923571002675,0.059968922707541214,0.05131199042699143,0.05911483742969231,0.77855341,0.34232570500000004,0.77313539,0.34821505,0.7990652099999999,0.362631385,0.8281477400000001,0.37606862500000005,0.7648184299999999,0.34438827,0.79385222,0.357698105,0.63697249,0.288702505,0.72675811,0.32901431000000003,0.6364890599999999,0.283714405,0.91675802,0.424708885
Chapecoense,Ponte Preta,26,[0.5134 0.2219 0.263 ],[0.5254 0.2112 0.2618],[0.5316 0.2084 0.2582],[0.5361 0.2095 0.2528],[0.524  0.2115 0.263 ],[0.5289 0.2127 0.257 ],[0.4564 0.1947 0.3475],[0.4446 0.2069 0.3463],[0.4059 0.2517 0.3422],0.0682,0.06600963340979307,0.06609580755922602,0.06496693531855124,0.07145789215177199,0.07262581996620651,0.05827998267567039,0.9381881700000001,0.16682427,0.9667898399999999,0.17271364,0.9758963599999999,0.17510089999999998,0.9762013,0.176062565,0.9654772500000001,0.17226924999999998,0.9656255,0.173253865,0.9775653,0.165017065,0.9466004600000001,0.159563125,0.8418085399999999,0.140996305,0.8609580199999999,0.156308885
Cruzeiro,Atlético-MG,26,[0.4302 0.242  0.327 ],[0.4196 0.2302 0.3496],[0.375  0.2335 0.391 ],[0.4208 0.2337 0.3449],[0.4075 0.2309 0.3609],[0.4549 0.2286 0.3159],[0.3979 0.2001 0.401 ],[0.3432 0.2172 0.4383],[0.4526 0.2396 0.3074],0.1005,0.10092292021625057,0.10134736377994268,0.1008877590769855,0.0805485061566135,0.08737295853249592,0.11080569833783555,0.86656504,0.14626276,0.8908763600000001,0.14935228,0.88102825,0.14694875,0.88324434,0.148221625,0.8878198700000001,0.14840565,0.9017847800000001,0.15355331,0.9589654200000002,0.15996470499999998,0.92266897,0.155518045,0.87754968,0.14979388,0.8609580199999999,0.156308885
Grêmio,Fluminense,26,[0.4259 0.3156 0.2585],[0.4865 0.2774 0.236 ],[0.4923 0.2754 0.2322],[0.5199 0.2675 0.2124],[0.4813 0.2779 0.2408],[0.5088 0.2703 0.2207],[0.4099 0.2475 0.3425],[0.537  0.2508 0.2119],[0.4478 0.284  0.2681],0.0991,0.09289738769762938,0.09373753293012692,0.08694614872671308,0.12059673253434955,0.07422593345670946,0.10125923651346505,0.8308164200000001,0.36560653000000004,0.89732901,0.41011273500000006,0.90772129,0.4158612950000001,0.96216602,0.4451474050000001,0.8852627399999999,0.404017165,0.93924802,0.432937145,0.66158051,0.30009639000000005,0.9723712500000001,0.45449896500000003,0.81685845,0.368028045,0.91675802,0.424708885
Atlético-PR,São Paulo,26,[0.3975 0.4205 0.1819],[0.404  0.3656 0.2304],[0.3867 0.3669 0.2465],[0.3975 0.3643 0.2382],[0.3996 0.3659 0.2345],[0.4105 0.3625 0.227 ],[0.4153 0.3262 0.2585],[0.4328 0.3182 0.249 ],[0.3775 0.3232 0.2993],0.1946,0.2029802764669807,0.20116570500513442,0.20371046628075581,0.20833700603176597,0.1736392346193904,0.15754566498571154,0.57291411,0.19806513,0.54196352,0.20415007999999998,0.57151475,0.21842492999999996,0.5524599800000001,0.209872745,0.5493532200000001,0.207735205,0.5304455,0.19951962500000003,0.51510278,0.20434817,0.4849680799999999,0.19185841999999997,0.5815449800000001,0.23854337000000003,0.36215801999999997,0.147408885
Sport,Coritiba,26,[0.4809 0.2593 0.2594],[0.5059 0.2342 0.2594],[0.5135 0.231  0.2549],[0.5189 0.2297 0.2508],[0.5011 0.2351 0.2632],[0.5073 0.2337 0.2585],[0.4485 0.2132 0.3379],[0.4508 0.2389 0.3098],[0.5293 0.242  0.2284],0.0678,0.0618820063881249,0.06261848837851353,0.06151882835465078,0.07992312937308645,0.0660305095705351,0.0684107792674326,0.8469896599999999,0.38958050499999997,0.8592728099999999,0.40184153499999997,0.87221726,0.40898143,0.88331994,0.4148297650000001,0.84924746,0.396546005,0.86179123,0.40321727,0.6849829000000001,0.31949964999999997,0.7366698899999999,0.33945348999999997,0.9340890500000001,0.437531135,0.91675802,0.424708885
Santos,Santa Cruz,26,[0.7961 0.1451 0.0543],[0.7512 0.1615 0.0846],[0.7464 0.1648 0.0863],[0.7609 0.1557 0.0802],[0.7482 0.1634 0.0857],[0.7624 0.1546 0.0797],[0.7581 0.1405 0.098 ],[0.7575 0.1493 0.0884],[0.5489 0.2301 0.2203],0.0248,0.022069976593165078,0.02191501338744068,0.022325243136846997,0.02539327238793864,0.029003185552584455,0.0315079820857138,0.06557770999999998,0.02252644999999999,0.09514085,0.03476501000000001,0.09891969000000003,0.03610232500000001,0.08784333999999999,0.03206730499999998,0.09744729,0.035612545000000016,0.08670701000000001,0.03167682500000001,0.08785986000000001,0.03440456499999999,0.08891130000000003,0.03375776500000002,0.30496930999999994,0.12616634999999998,0.36215801999999997,0.147408885
Vitória,Botafogo,26,[0.4214 0.2863 0.2921],[0.4636 0.247  0.2892],[0.4392 0.254  0.3066],[0.4478 0.2501 0.3019],[0.461  0.2491 0.2897],[0.4702 0.2448 0.2847],[0.4089 0.2196 0.3712],[0.5444 0.2012 0.252 ],[0.4175 0.2436 0.3386],0.0878,0.07293310505159917,0.07479335068863396,0.07086180558622919,0.0906405409645067,0.03546145648020355,0.07184164695753516,0.76066806,0.33920864500000003,0.7811706,0.35993867999999996,0.7382162,0.33671146,0.7504184599999999,0.34379464499999995,0.7790979,0.358381525,0.7926691700000001,0.366156565,0.61081281,0.28110577499999995,0.8963568,0.42614824,0.6710971699999999,0.30567977500000004,0.91675802,0.424708885
América-MG,Internacional,26,[0.2603 0.4002 0.3395],[0.2701 0.3277 0.4022],[0.2609 0.326  0.4131],[0.2698 0.3278 0.4024],[0.2676 0.3265 0.4059],[0.2773 0.3284 0.3942],[0.2922 0.2655 0.4423],[0.2195 0.2772 0.5032],[0.2811 0.3576 0.3613],0.132,0.12978975979425947,0.12847173911570242,0.13212987992891526,0.12744348005575598,0.09090840381954067,0.14935655976896375,0.82257638,0.33120817,0.80190614,0.347259425,0.8231964199999999,0.35846020999999995,0.8025706399999999,0.3475589,0.8077668199999999,0.35058228499999994,0.78553549,0.338883895,0.76710038,0.34830506499999997,0.93923033,0.431245575,0.77523266,0.32367745,0.36215801999999997,0.147408885
