Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Flamengo,Santos,26,[0.35   0.3121 0.3379],[0.3568 0.3139 0.3293],[0.349  0.3133 0.3377],[0.3532 0.313  0.3338],[0.3463 0.3125 0.3412],[0.368  0.2739 0.358 ],[0.3291 0.2357 0.435 ],[0.4146 0.3107 0.2746],0.13632176897277332,0.13551690623223306,0.13724364968725158,0.13599295068419748,0.1375289009732752,0.10545717466038408,0.11484832415257877,0.1069,[0.2996 0.2888 0.4116],0.13407396446841338,0.7946328100000001,0.34897663000000007,0,0.65828282,0.28043820499999994,0,0.65859918,0.280221145,0,0.6756779400000001,0.28857236500000005,0,0.6515973800000001,0.27697056500000006,0,0.66654168,0.28428634,0,0.4830862999999999,0.21365294499999998,1,0.62260921,0.27372980999999996,0,0.5193801600000001,0.21798736000000002,1,0.91675802,0.424708885,0
Fluminense,Bahia,26,[0.6611 0.2224 0.116 ],[0.6715 0.2168 0.1111],[0.6446 0.2302 0.1248],[0.6694 0.2183 0.1118],[0.6419 0.232  0.1258],[0.7574 0.1619 0.0782],[0.5695 0.2158 0.2142],[0.6709 0.2275 0.101 ],0.09806224368681418,0.09589184747613179,0.1015007158385918,0.09628918086839476,0.10197338731143167,0.07569146615247851,0.10205917366844913,0.0946,[0.6956 0.1951 0.1081],0.09085752177787638,1.05706406,0.23021486500000002,0,1.05517097,0.225312855,0,1.0236762400000001,0.21559218,0,1.0766577,0.23169474999999998,0,1.0176852500000002,0.21396845500000003,0,1.0716504900000001,0.23035394999999997,0,0.98518153,0.18521329499999997,0,1.28218161,0.29008674999999995,0,1.14340898,0.247903645,0,0.8609580199999999,0.156308885,0
Coritiba,Atlético-PR,26,[0.5343 0.2629 0.2027],[0.5467 0.2574 0.1957],[0.5231 0.2658 0.2109],[0.5417 0.2606 0.1975],[0.5189 0.2684 0.2126],[0.5183 0.2379 0.2434],[0.5028 0.23   0.2669],[0.5835 0.2661 0.1501],0.1499378903595292,0.14816645487057611,0.14844661108797697,0.15047537059840374,0.15026194089385048,0.10172363216590882,0.1270984492177342,0.1664,[0.4469 0.2845 0.2685],0.14089230491742444,0.26681147,0.09804625,1,0.32708019,0.12900217,1,0.34256205999999995,0.13599843,1,0.31003414000000007,0.12192887000000001,1,0.34869453,0.13834925499999995,1,0.31695750000000006,0.12456211000000002,1,0.37134345,0.159301885,1,0.34787486,0.14573674500000003,1,0.4589521099999999,0.18903278999999992,1,0.36215801999999997,0.147408885,1
Vitória,Botafogo,26,[0.4861 0.2715 0.2423],[0.4849 0.27   0.245 ],[0.468  0.2776 0.2543],[0.4917 0.2686 0.2396],[0.4729 0.2767 0.2503],[0.3664 0.2651 0.3684],[0.4156 0.2365 0.3478],[0.5114 0.2884 0.2001],0.08875949578787957,0.08925644976169962,0.08654706555807665,0.08969869561611629,0.0869199129302989,0.08119812708807014,0.0863396500849457,0.09,[0.4475 0.2765 0.2759],0.08633308497784245,0.36194453000000004,0.13940500500000003,1,0.39651475,0.16142549,1,0.42475425000000006,0.17387168500000003,1,0.39825301,0.162701015,1,0.41704739,0.17026729,1,0.38792300999999996,0.15791249499999999,1,0.51842045,0.23127889000000001,1,0.6074455299999999,0.26862061,0,0.45782931,0.19071613,1,0.36215801999999997,0.147408885,1
Grêmio,São Paulo,26,[0.5239 0.2972 0.1789],[0.5247 0.2975 0.1777],[0.5251 0.2955 0.1793],[0.5239 0.2975 0.1785],[0.5244 0.2955 0.1801],[0.4556 0.2578 0.2864],[0.4938 0.2531 0.253 ],[0.5715 0.3174 0.1111],0.09366549686895186,0.09351456637173695,0.09310366095347575,0.09370119969601051,0.09326419188235488,0.08230569799751303,0.1062921650796988,0.068,[0.1925 0.2557 0.5517],0.1481368361684116,1.21749822,0.55837773,0,1.0370042599999998,0.4743382100000001,0,1.03659875,0.47455719,0,1.0399936300000001,0.4756614700000001,0,1.0345516199999998,0.47361568499999995,0,1.03783971,0.47458459000000003,0,0.86590705,0.40084903000000005,0,0.78325716,0.35825548,0,0.30341163,0.11896974999999999,1,0.91675802,0.424708885,0
Corinthians,Sport,26,[0.6103 0.2799 0.1097],[0.6121 0.2799 0.1079],[0.6056 0.281  0.1133],[0.6139 0.2785 0.1076],[0.6071 0.2798 0.1131],[0.6588 0.234  0.1069],[0.5493 0.2583 0.1923],[0.5937 0.3152 0.091 ],0.07149577334909132,0.07190174014068798,0.0703152955019337,0.07248078495080175,0.07077839255495824,0.08769348205251863,0.05560013011082777,0.0559,[0.4807 0.3291 0.1901],0.040932995401127464,0.27271173,0.086689455,1,0.24224419000000003,0.08196107000000002,1,0.24734924999999996,0.08420546499999998,1,0.24045283,0.08106521000000003,1,0.24545006000000003,0.08358101000000001,1,0.23821322,0.080325485,1,0.30682866999999997,0.12007413,1,0.18260105,0.06395468499999998,1,0.41411731,0.15292426999999997,1,0.36215801999999997,0.147408885,1
Cruzeiro,Internacional,26,[0.6201 0.2139 0.1651],[0.6248 0.2134 0.1609],[0.6236 0.2108 0.1645],[0.6224 0.214  0.1627],[0.6216 0.2113 0.1661],[0.6526 0.1866 0.1582],[0.5167 0.2081 0.2745],[0.6172 0.2323 0.1498],0.09879735731976601,0.09851405274049962,0.09906018032331057,0.09860429799398142,0.0991196014758331,0.09741725872217288,0.09590554866235561,0.0982,[0.5395 0.2431 0.217 ],0.09650082003173367,0.22293917000000002,0.08459329000000003,1,0.21733523,0.08594041000000001,1,0.21317384999999997,0.08455076499999997,1,0.21220340999999998,0.08347754499999999,1,0.21542345999999996,0.08555498499999999,1,0.21484905000000004,0.08467376500000003,1,0.35223475,0.15465720999999996,1,0.18053356000000004,0.07327508000000002,1,0.31824686,0.12966158500000002,1,0.36215801999999997,0.147408885,1
Criciúma,Atlético-MG,26,[0.1907 0.3049 0.5043],[0.188  0.3048 0.5071],[0.1803 0.3044 0.5153],[0.1944 0.3061 0.4995],[0.1853 0.3055 0.5091],[0.1991 0.2499 0.5507],[0.1721 0.223  0.6046],[0.1815 0.3482 0.4703],0.007803922943884193,0.0075634210026682,0.006903908980475608,0.008053364557399561,0.007277184947030971,0.014171900541402108,0.009409373893098115,0.0072,[0.1838 0.2895 0.5266],0.008279288019585006,1.0123675799999998,0.44556217,0,1.00224899,0.45469293000000005,0,1.03010154,0.46872108999999995,0,1.00939745,0.45829792500000005,0,1.01624915,0.46151037,0,0.99218882,0.44924580500000005,0,1.10068857,0.5256612549999999,0,1.0071613099999999,0.4725209499999999,0,1.02730025,0.4717976700000001,0,0.36215801999999997,0.147408885,1
Palmeiras,Chapecoense,26,[0.3916 0.3104 0.2979],[0.395  0.3114 0.2936],[0.3873 0.3112 0.3015],[0.3959 0.3104 0.2937],[0.3884 0.3104 0.3011],[0.4508 0.262  0.2871],[0.3079 0.2398 0.4522],[0.3687 0.3327 0.2986],0.003049249288810342,0.0030046190357748623,0.0029869477463288197,0.003068544737206551,0.0030383983677680078,0.008714561489568147,0.005100029955354912,0.0043,[0.3979 0.3273 0.2748],0.0021762416670344027,0.5983909399999999,0.24385082499999997,1,0.55524313,0.22947728500000006,1,0.56314898,0.23315177000000006,1,0.5491959200000001,0.22611298,1,0.56106393,0.23238800499999993,1,0.5475446600000001,0.22559825000000008,1,0.74099129,0.34178885499999995,0,0.45269105000000004,0.19205224500000004,1,0.54516474,0.21901972500000005,1,0.36215801999999997,0.147408885,1
Goiás,Figueirense,26,[0.554  0.2699 0.176 ],[0.5648 0.2645 0.1705],[0.5503 0.2721 0.1775],[0.5592 0.2674 0.1734],[0.5456 0.2744 0.18  ],[0.5107 0.28   0.2092],[0.4649 0.2284 0.3065],[0.5543 0.2665 0.179 ],0.1731887783076776,0.17152225885857125,0.1742605585808638,0.1724111065494073,0.1748547675650529,0.16320971432319534,0.11172530441877357,0.1488,[0.3905 0.3016 0.3078],0.1413631556254255,0.30171174,0.115380585,1,0.30273800999999995,0.11496360999999997,1,0.30777475000000004,0.11688593,1,0.28842954000000004,0.10926878500000002,1,0.31417472,0.11943968000000002,1,0.29587495999999996,0.11218609999999998,1,0.43244082,0.19019847,1,0.36157912999999997,0.14161049499999995,1,0.5571936499999999,0.23314633499999998,1,0.36215801999999997,0.147408885,1
