Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Fluminense,América-MG,20,[0.7015 0.2444 0.0537],[0.7111 0.2101 0.0783],[0.6897 0.2223 0.0876],[0.7255 0.2003 0.0736],[0.6945 0.2198 0.0852],[0.7289 0.1986 0.0718],[0.6938 0.2108 0.0949],[0.8058 0.1456 0.0463],[0.6578 0.24   0.102 ],0.2121,0.19980930061287225,0.20220880121960103,0.19459869589245954,0.18419663468734732,0.16300196418314472,0.20490949132576933,0.1517173,0.04601461,0.13373611000000002,0.04483645000000001,0.15337714000000002,0.052015125000000016,0.12088729999999998,0.04042812499999999,0.14890133,0.05033749499999999,0.11809241000000001,0.03937597500000001,0.14720109,0.05142992500000001,0.06105669000000001,0.020040445000000004,0.18510483999999996,0.06377285999999999,0.36215801999999997,0.147408885
Grêmio,Corinthians,20,[0.3291 0.3448 0.326 ],[0.3751 0.3044 0.3205],[0.3693 0.3043 0.3264],[0.3821 0.3061 0.3118],[0.3679 0.3024 0.3297],[0.3807 0.3044 0.3149],[0.3217 0.2834 0.3949],[0.4841 0.2676 0.2482],[0.4475 0.2598 0.2926],0.0146,0.026728441725297952,0.025840717016291644,0.027509803603327613,0.020407860407058137,0.04558955206231153,0.039005511302765306,0.6752698500000001,0.2782240150000001,0.5858796199999999,0.24661013,0.5969179400000001,0.25215972500000006,0.57271686,0.239509825,0.5996982599999999,0.25412625,0.57535386,0.24134724999999996,0.69635246,0.30801845000000005,0.39936581000000004,0.163902855,0.45836705,0.19546477499999998,0.36215801999999997,0.147408885
Vitória,Santa Cruz,20,[0.5977 0.2636 0.1383],[0.5359 0.2455 0.2183],[0.5229 0.2502 0.2266],[0.5486 0.2403 0.2107],[0.5317 0.2483 0.2197],[0.5572 0.2383 0.2041],[0.5679 0.2415 0.1903],[0.5444 0.2144 0.24  ],[0.4451 0.2662 0.2885],0.0396,0.045770165569763634,0.044993385607843474,0.045426202004847906,0.039625821728266626,0.06180924197551359,0.04805182208718742,0.91865714,0.18824157000000002,0.90411395,0.16748743000000002,0.88697201,0.162454055,0.92250054,0.172762665,0.89602587,0.16555249,0.9323155400000002,0.17614612500000001,0.9340467499999999,0.17941943000000002,0.9711387199999999,0.17727511999999998,0.8198087000000001,0.14073086999999998,0.8609580199999999,0.156308885
Sport,Flamengo,20,[0.4608 0.2682 0.2706],[0.4545 0.2573 0.288 ],[0.4439 0.2593 0.2966],[0.4537 0.2564 0.2897],[0.4497 0.2581 0.292 ],[0.459  0.2554 0.2854],[0.4329 0.2379 0.3288],[0.3273 0.2354 0.4368],[0.4696 0.2519 0.2783],0.0993,0.10790023872923334,0.10757279740963736,0.10664216089688165,0.08119359547761935,0.06307362098175251,0.10508997027955545,0.43589224,0.1820889,0.44671753999999997,0.190314765,0.46445526000000004,0.198668745,0.44811074,0.19124287,0.4547097,0.194105485,0.4393633199999999,0.18712419999999994,0.48630825999999994,0.21498760499999997,0.69873269,0.3218784150000001,0.42222866,0.17944322499999998,0.36215801999999997,0.147408885
Santos,Atlético-MG,20,[0.6448 0.2167 0.1371],[0.6413 0.1984 0.1588],[0.6173 0.2097 0.1719],[0.6337 0.202  0.1629],[0.6317 0.2029 0.164 ],[0.6485 0.1949 0.1548],[0.5863 0.2076 0.2048],[0.6249 0.1831 0.1881],[0.4766 0.205  0.3161],0.0649,0.07366087499850922,0.07216585874654724,0.07478390814871204,0.05969338094646636,0.05774100350886506,0.03364999829987594,0.19192233999999997,0.07267562499999998,0.19324569000000003,0.07718201500000002,0.21998299000000002,0.08819475000000002,0.20151609999999998,0.08058606999999995,0.20370929999999995,0.08150200499999997,0.1855013,0.07403952500000002,0.25618849,0.10681329499999997,0.20960722999999998,0.08878960999999998,0.41589176999999994,0.187665705,0.36215801999999997,0.147408885
Cruzeiro,Coritiba,20,[0.5439 0.2584 0.1972],[0.5112 0.2404 0.248 ],[0.5034 0.2395 0.2567],[0.5233 0.2383 0.2379],[0.5021 0.2415 0.256 ],[0.5215 0.2403 0.2378],[0.4934 0.2353 0.2709],[0.437  0.2319 0.3305],[0.474  0.2734 0.2525],0.0529,0.05339996975822663,0.054272289884198445,0.051661735967403706,0.057785041695629265,0.06616374540533809,0.040974536616921416,0.8846856100000001,0.16745637500000002,0.8998216000000001,0.16151407999999998,0.8976666999999999,0.15975606500000003,0.9106261900000001,0.16533884999999998,0.89296266,0.158922765,0.9056551800000001,0.16435082499999998,0.9015964599999999,0.15852370500000001,0.89017686,0.15029828499999998,0.8163798099999999,0.144241385,0.8609580199999999,0.156308885
São Paulo,Botafogo,20,[0.5494 0.2658 0.1844],[0.5587 0.2463 0.1947],[0.533  0.2567 0.2101],[0.5572 0.2506 0.192 ],[0.545  0.2502 0.2045],[0.5686 0.2438 0.1873],[0.5239 0.2317 0.2439],[0.6908 0.1776 0.1288],[0.4463 0.2805 0.2731],0.0643,0.07090729440042708,0.07358400353721971,0.06924944012516261,0.06375739492813733,0.03560692582751631,0.09931352318584585,1.03769336,0.4831957799999999,1.02131747,0.4800853899999999,0.9739259,0.4538575650000001,1.0261362000000003,0.4815063600000001,0.99244529,0.4646840650000001,1.0432256899999999,0.491649905,0.8998433100000001,0.42270141000000006,1.2677358399999998,0.61566552,0.8062475499999999,0.36371097,0.91675802,0.424708885
Ponte Preta,Figueirense,20,[0.4816 0.3089 0.2094],[0.4814 0.2703 0.2482],[0.4605 0.2722 0.2672],[0.5067 0.2623 0.2309],[0.461  0.2744 0.2645],[0.505  0.265  0.2299],[0.4508 0.2594 0.2897],[0.4424 0.2621 0.2953],[0.6045 0.2403 0.1549],0.0871,0.09571132145928067,0.09089195899961172,0.1013758500688403,0.08170903007522204,0.07967259608313793,0.12996330589126537,0.40800612999999997,0.15631441,0.4036112899999999,0.16529942999999994,0.43654892999999995,0.18125477499999998,0.36546098999999993,0.14835294999999996,0.4357766099999999,0.18026708499999994,0.36810401000000004,0.148962505,0.45283509000000005,0.19280234500000004,0.46681626,0.19911902499999998,0.23815835,0.09025369,0.36215801999999997,0.147408885
Atlético-PR,Palmeiras,20,[0.4222 0.3352 0.2426],[0.3618 0.2953 0.3428],[0.3606 0.2892 0.3502],[0.3667 0.2925 0.3407],[0.3595 0.2934 0.347 ],[0.3651 0.2967 0.3381],[0.3961 0.3018 0.302 ],[0.3636 0.2784 0.3579],[0.2667 0.2627 0.4705],0.1004,0.12308401370276159,0.12226502667021011,0.12327326025307195,0.12364158101763877,0.1099752611165879,0.12061668035257482,0.86426664,0.3759538000000001,0.65001317,0.28133983,0.6359090399999999,0.27613619999999994,0.6547016299999999,0.2845067700000001,0.64173281,0.27775933500000005,0.6594405099999999,0.28563863,0.7351824499999999,0.321979815,0.62200393,0.272184485,0.4205104300000001,0.17569663,0.91675802,0.424708885
Chapecoense,Internacional,20,[0.5408 0.2521 0.2066],[0.4995 0.2389 0.2612],[0.4859 0.2419 0.2719],[0.4971 0.2401 0.2624],[0.497  0.2396 0.2629],[0.5084 0.2375 0.2537],[0.4989 0.221  0.2792],[0.4319 0.228  0.3394],[0.4989 0.254  0.2469],0.1082,0.09603141847880538,0.096318815252469,0.09716346934311643,0.0732534004684722,0.063957058123198,0.1188858253691863,0.31710261000000006,0.12687765000000004,0.37579889999999994,0.159467485,0.39674402999999997,0.16919587,0.37941018000000004,0.16098620500000005,0.37953357,0.16119440499999996,0.3624405,0.15311876500000005,0.37789485,0.164779015,0.48991397000000003,0.21920305500000004,0.37657682,0.15607982999999997,0.36215801999999997,0.147408885
