Ano,Rodada,home_team,away_team,placar_casa,placar_visitante,resultado,FS_h,FT_h,FD_h,FF_h,RB_h,FC_h,CA_h,FinC_h,Finalizacoes_h,FS_a,FT_a,FD_a,FF_a,RB_a,FC_a,CA_a,FinC_a,Finalizacoes_a,Proporcao_C_h,Proporcao_Tot_h,Proporcao_C_a,Proporcao_Tot_a,resultado_v
2014,3,Criciúma,Figueirense,1.0,0.0,1,22.0,0.0,5.0,6.0,18.0,19.0,1.0,5.0,11.0,17.0,0.0,2.0,4.0,9.0,22.0,4.0,2.0,6.0,0.2,0.09090909090909091,0.0,0.0,[1 0 0]
2014,3,São Paulo,Coritiba,2.0,2.0,2,24.0,1.0,2.0,8.0,13.0,12.0,3.0,3.0,11.0,11.0,0.0,4.0,3.0,14.0,24.0,3.0,4.0,7.0,0.6666666666666666,0.18181818181818182,0.5,0.2857142857142857,[0 1 0]
2014,3,Santos,Grêmio,0.0,0.0,2,13.0,0.0,1.0,10.0,10.0,13.0,1.0,1.0,11.0,14.0,0.0,2.0,6.0,13.0,14.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,3,Atlético-PR,Cruzeiro,2.0,3.0,3,11.0,0.0,2.0,1.0,6.0,14.0,3.0,2.0,3.0,14.0,0.0,6.0,5.0,12.0,11.0,3.0,6.0,11.0,1.0,0.6666666666666666,0.5,0.2727272727272727,[0 0 1]
2014,3,Atlético-MG,Goiás,0.0,1.0,3,13.0,2.0,4.0,6.0,20.0,18.0,2.0,6.0,12.0,19.0,0.0,5.0,3.0,13.0,14.0,1.0,5.0,8.0,0.0,0.0,0.2,0.125,[0 0 1]
2014,3,Chapecoense,Corinthians,0.0,1.0,3,16.0,0.0,1.0,6.0,13.0,20.0,3.0,1.0,7.0,19.0,0.0,2.0,4.0,15.0,17.0,3.0,2.0,6.0,0.0,0.0,0.5,0.16666666666666666,[0 0 1]
2014,3,Fluminense,Vitória,1.0,2.0,3,11.0,1.0,7.0,4.0,8.0,16.0,1.0,8.0,12.0,14.0,0.0,3.0,3.0,5.0,11.0,1.0,3.0,6.0,0.125,0.08333333333333333,0.6666666666666666,0.3333333333333333,[0 0 1]
2014,4,Fluminense,Flamengo,2.0,0.0,1,10.0,0.0,2.0,2.0,19.0,19.0,2.0,2.0,4.0,17.0,0.0,2.0,5.0,10.0,12.0,4.0,2.0,7.0,1.0,0.5,0.0,0.0,[1 0 0]
2014,4,São Paulo,Corinthians,1.0,1.0,2,11.0,0.0,1.0,3.0,16.0,14.0,3.0,1.0,4.0,13.0,0.0,4.0,1.0,11.0,11.0,2.0,4.0,5.0,1.0,0.25,0.25,0.2,[0 1 0]
2014,4,Atlético-MG,Cruzeiro,2.0,1.0,1,19.0,0.0,3.0,7.0,18.0,17.0,5.0,3.0,10.0,17.0,0.0,3.0,4.0,14.0,21.0,2.0,3.0,7.0,0.6666666666666666,0.2,0.3333333333333333,0.14285714285714285,[1 0 0]
2014,4,Chapecoense,Grêmio,1.0,2.0,3,18.0,1.0,6.0,6.0,12.0,10.0,2.0,7.0,13.0,10.0,0.0,3.0,2.0,14.0,18.0,4.0,3.0,5.0,0.14285714285714285,0.07692307692307693,0.6666666666666666,0.4,[0 0 1]
2014,4,Palmeiras,Goiás,2.0,0.0,1,15.0,0.0,0.0,3.0,13.0,25.0,5.0,2.0,5.0,23.0,0.0,0.0,4.0,11.0,15.0,3.0,0.0,4.0,1.0,0.4,0.0,0.0,[1 0 0]
2014,4,Coritiba,Sport,0.0,1.0,3,17.0,1.0,1.0,10.0,19.0,13.0,3.0,2.0,12.0,12.0,0.0,2.0,5.0,14.0,19.0,1.0,2.0,7.0,0.0,0.0,0.5,0.14285714285714285,[0 0 1]
2014,4,Bahia,Vitória,1.0,1.0,2,22.0,0.0,3.0,6.0,10.0,20.0,3.0,3.0,9.0,20.0,0.0,4.0,4.0,15.0,22.0,3.0,4.0,8.0,0.3333333333333333,0.1111111111111111,0.25,0.125,[0 1 0]
2014,4,Internacional,Atlético-PR,2.0,1.0,1,15.0,0.0,9.0,6.0,7.0,9.0,3.0,9.0,15.0,9.0,0.0,2.0,3.0,8.0,16.0,1.0,2.0,5.0,0.2222222222222222,0.13333333333333333,0.5,0.2,[1 0 0]
2014,4,Figueirense,Santos,0.0,2.0,3,14.0,0.0,1.0,0.0,4.0,12.0,1.0,1.0,1.0,12.0,0.0,2.0,6.0,6.0,14.0,0.0,2.0,8.0,0.0,0.0,1.0,0.25,[0 0 1]
2014,4,Botafogo,Criciúma,6.0,0.0,1,13.0,2.0,2.0,4.0,7.0,20.0,1.0,6.0,10.0,20.0,0.0,2.0,9.0,6.0,13.0,5.0,2.0,11.0,1.0,0.6,0.0,0.0,[1 0 0]
2014,5,Flamengo,São Paulo,0.0,2.0,3,11.0,1.0,5.0,5.0,19.0,14.0,1.0,6.0,11.0,14.0,0.0,7.0,3.0,10.0,12.0,1.0,7.0,10.0,0.0,0.0,0.2857142857142857,0.2,[0 0 1]
2014,5,Corinthians,Figueirense,0.0,1.0,3,22.0,0.0,3.0,8.0,4.0,12.0,4.0,3.0,11.0,12.0,0.0,1.0,4.0,6.0,24.0,4.0,1.0,5.0,0.0,0.0,1.0,0.2,[0 0 1]
2014,5,Atlético-PR,Chapecoense,1.0,1.0,2,18.0,0.0,4.0,5.0,11.0,14.0,2.0,4.0,9.0,14.0,0.0,2.0,2.0,7.0,18.0,2.0,2.0,4.0,0.25,0.1111111111111111,0.5,0.25,[0 1 0]
2014,5,Grêmio,Fluminense,1.0,0.0,1,12.0,0.0,2.0,4.0,7.0,15.0,2.0,2.0,6.0,15.0,0.0,5.0,2.0,12.0,15.0,1.0,5.0,7.0,0.5,0.16666666666666666,0.0,0.0,[1 0 0]
2014,5,Santos,Atlético-MG,1.0,2.0,3,14.0,0.0,3.0,3.0,16.0,17.0,2.0,3.0,6.0,17.0,0.0,1.0,9.0,12.0,15.0,3.0,2.0,11.0,0.3333333333333333,0.16666666666666666,1.0,0.18181818181818182,[0 0 1]
2014,5,Cruzeiro,Coritiba,3.0,2.0,1,11.0,1.0,2.0,7.0,14.0,12.0,2.0,3.0,10.0,12.0,0.0,2.0,1.0,13.0,12.0,1.0,2.0,3.0,1.0,0.3,1.0,0.6666666666666666,[1 0 0]
2014,5,Vitória,Palmeiras,0.0,1.0,3,16.0,0.0,4.0,6.0,11.0,17.0,0.0,4.0,10.0,15.0,0.0,2.0,5.0,5.0,17.0,0.0,2.0,7.0,0.0,0.0,0.5,0.14285714285714285,[0 0 1]
2014,5,Criciúma,Internacional,0.0,0.0,2,15.0,0.0,2.0,3.0,10.0,14.0,1.0,2.0,5.0,11.0,0.0,6.0,7.0,9.0,17.0,3.0,6.0,13.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,5,Sport,Bahia,1.0,0.0,1,14.0,0.0,5.0,11.0,15.0,29.0,6.0,5.0,16.0,29.0,0.0,2.0,1.0,15.0,14.0,6.0,2.0,3.0,0.2,0.0625,0.0,0.0,[1 0 0]
2014,5,Goiás,Botafogo,2.0,0.0,1,7.0,0.0,3.0,4.0,13.0,19.0,3.0,3.0,7.0,19.0,0.0,4.0,8.0,16.0,7.0,0.0,4.0,12.0,0.6666666666666666,0.2857142857142857,0.0,0.0,[1 0 0]
2014,6,Flamengo,Bahia,1.0,1.0,2,15.0,0.0,0.0,3.0,12.0,17.0,3.0,1.0,4.0,17.0,0.0,7.0,12.0,14.0,16.0,1.0,7.0,19.0,1.0,0.25,0.14285714285714285,0.05263157894736842,[0 1 0]
2014,6,Palmeiras,Figueirense,1.0,0.0,1,25.0,0.0,2.0,3.0,11.0,22.0,2.0,2.0,5.0,22.0,0.0,3.0,2.0,14.0,25.0,3.0,3.0,5.0,0.5,0.2,0.0,0.0,[1 0 0]
2014,6,Coritiba,Internacional,1.0,1.0,2,18.0,0.0,5.0,13.0,9.0,22.0,3.0,5.0,18.0,21.0,0.0,3.0,3.0,10.0,19.0,6.0,3.0,6.0,0.2,0.05555555555555555,0.3333333333333333,0.16666666666666666,[0 1 0]
2014,6,Goiás,Santos,2.0,2.0,2,14.0,0.0,2.0,1.0,11.0,22.0,3.0,2.0,3.0,22.0,1.0,3.0,4.0,15.0,14.0,2.0,4.0,8.0,1.0,0.6666666666666666,0.5,0.25,[0 1 0]
2014,6,Cruzeiro,Sport,2.0,0.0,1,13.0,1.0,2.0,6.0,22.0,15.0,0.0,3.0,9.0,15.0,0.0,3.0,8.0,14.0,13.0,0.0,3.0,11.0,0.6666666666666666,0.2222222222222222,0.0,0.0,[1 0 0]
2014,6,Vitória,Atlético-MG,2.0,3.0,3,20.0,0.0,3.0,4.0,13.0,20.0,2.0,3.0,7.0,19.0,0.0,2.0,2.0,3.0,20.0,2.0,3.0,5.0,0.6666666666666666,0.2857142857142857,1.0,0.6,[0 0 1]
2014,6,Criciúma,Chapecoense,1.0,0.0,1,15.0,0.0,7.0,4.0,31.0,26.0,1.0,7.0,11.0,26.0,0.0,0.0,3.0,22.0,15.0,0.0,0.0,3.0,0.14285714285714285,0.09090909090909091,0.0,0.0,[1 0 0]
2014,6,Fluminense,São Paulo,5.0,2.0,1,21.0,0.0,5.0,4.0,8.0,18.0,1.0,5.0,9.0,17.0,0.0,1.0,3.0,8.0,23.0,4.0,2.0,5.0,1.0,0.5555555555555556,1.0,0.4,[1 0 0]
2014,6,Corinthians,Atlético-PR,1.0,1.0,2,17.0,0.0,5.0,3.0,10.0,9.0,1.0,5.0,8.0,8.0,1.0,3.0,6.0,21.0,17.0,5.0,4.0,10.0,0.2,0.125,0.25,0.1,[0 1 0]
2014,6,Grêmio,Botafogo,2.0,1.0,1,19.0,0.0,3.0,9.0,14.0,11.0,3.0,3.0,12.0,10.0,0.0,1.0,4.0,11.0,21.0,3.0,1.0,5.0,0.6666666666666666,0.16666666666666666,1.0,0.2,[1 0 0]
2014,7,Sport,Corinthians,1.0,4.0,3,9.0,0.0,4.0,3.0,9.0,18.0,2.0,4.0,7.0,17.0,0.0,3.0,6.0,12.0,9.0,1.0,4.0,10.0,0.25,0.14285714285714285,1.0,0.4,[0 0 1]
2014,7,Santos,Flamengo,0.0,0.0,2,9.0,0.0,4.0,5.0,15.0,12.0,2.0,4.0,9.0,11.0,2.0,1.0,4.0,16.0,10.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,7,Atlético-PR,Coritiba,2.0,0.0,1,23.0,0.0,5.0,3.0,6.0,24.0,3.0,5.0,8.0,24.0,0.0,6.0,5.0,8.0,24.0,5.0,6.0,11.0,0.4,0.25,0.0,0.0,[1 0 0]
2014,7,Figueirense,Goiás,0.0,1.0,3,25.0,0.0,4.0,9.0,19.0,13.0,1.0,4.0,13.0,13.0,0.0,2.0,3.0,17.0,25.0,2.0,2.0,5.0,0.0,0.0,0.5,0.2,[0 0 1]
2014,7,Botafogo,Vitória,1.0,1.0,2,13.0,0.0,2.0,10.0,4.0,15.0,4.0,2.0,12.0,15.0,0.0,3.0,7.0,16.0,13.0,4.0,3.0,10.0,0.5,0.08333333333333333,0.3333333333333333,0.1,[0 1 0]
2014,7,Atlético-MG,Criciúma,0.0,0.0,2,20.0,0.0,3.0,4.0,6.0,14.0,2.0,3.0,7.0,14.0,1.0,4.0,2.0,13.0,20.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,7,Bahia,Fluminense,0.0,1.0,3,18.0,1.0,1.0,4.0,13.0,12.0,1.0,2.0,6.0,12.0,0.0,4.0,2.0,15.0,18.0,0.0,4.0,6.0,0.0,0.0,0.25,0.16666666666666666,[0 0 1]
2014,7,Internacional,Cruzeiro,1.0,3.0,3,27.0,1.0,2.0,7.0,7.0,10.0,1.0,3.0,10.0,9.0,0.0,3.0,2.0,7.0,28.0,2.0,3.0,5.0,0.3333333333333333,0.1,1.0,0.6,[0 0 1]
2014,7,Chapecoense,Palmeiras,2.0,0.0,1,14.0,0.0,5.0,9.0,10.0,25.0,2.0,5.0,14.0,25.0,0.0,7.0,3.0,16.0,17.0,2.0,7.0,10.0,0.4,0.14285714285714285,0.0,0.0,[1 0 0]
2014,7,São Paulo,Grêmio,1.0,0.0,1,11.0,0.0,4.0,3.0,12.0,17.0,4.0,4.0,7.0,17.0,0.0,3.0,2.0,20.0,12.0,2.0,3.0,5.0,0.25,0.14285714285714285,0.0,0.0,[1 0 0]
