Var;média
Acerto_PD_gol_FinC;0.3473684210526316
Acerto_PD_gol_FinC_RB;0.3473684210526316
Acerto_PD_gol_Fina;0.37894736842105264
Acerto_PD_gol_Fina_RB;0.3736842105263158
Acerto_binpo_log;0.4
Acerto_binpo_p;0.4105263157894737
Acertos_palp_br_binpo_p;0.4421052631578947
Defi_DC;0.6956204758947367
Defi_PB;0.6918226239473683
Defi_PD_gol;0.6899098398947373
Defi_PD_gol_FinC;0.6904151094210528
Defi_PD_gol_FinC_RB;0.6911037291578949
Defi_PD_gol_Fina;0.6891802164210525
Defi_PD_gol_Fina_RB;0.6895545135789473
Defi_binpo_log;0.6921411371052633
Defi_binpo_p;0.6760756904210532
Defi_palp_br;0.6554138094736834
RPS_DC;0.2444624964473684
RPS_PB;0.24345129260526316
RPS_PD_gol;0.24211717200000005
RPS_PD_gol_FinC;0.24249352302631577
RPS_PD_gol_FinC_RB;0.24283900478947376
RPS_PD_gol_Fina;0.24130740360526315
RPS_PD_gol_Fina_RB;0.24150274134210506
RPS_binpo_log;0.2420807475263159
RPS_binpo_p;0.2342342882894737
RPS_palp_br;0.2244183586842107
Rodada;29.0
prob_DC_placar;0.07826477013274333
prob_PB_placar;0.08026999999999998
prob_PD_gol_FinC_RB_placar;0.07921927041194428
prob_PD_gol_FinC_placar;0.07926423282607284
prob_PD_gol_Fina_RB_placar;0.07994436629357485
prob_PD_gol_Fina_placar;0.07994787013383386
prob_PD_gol_placar;0.07934302999318141
prob_binpo_log_placar;0.07273805219971036
prob_binpo_p_placar;0.08095948171803094
