Var;Sum
prob_PB;[24.5876 14.329  11.0481]
prob_PD_gol;[25.1412 12.6299 12.1948]
prob_PD_gol_FinC_RB;[24.9958 12.6724 12.3   ]
prob_PD_gol_Fina_RB;[26.0414 12.3716 11.5448]
prob_PD_gol_FinC;[25.006  12.6743 12.2883]
prob_PD_gol_Fina;[26.0614 12.3689 11.5268]
prob_DC;[21.306  12.531  16.1291]
prob_binpo_log;[26.8744 10.8718 12.1851]
prob_binpo_p;[21.6599 13.7891 14.5389]
prob_PB_placar;5.972400000000001
prob_PD_gol_placar;5.783364367334899
prob_PD_gol_FinC_placar;5.779849651050444
prob_PD_gol_Fina_placar;5.8147885392309755
prob_DC_placar;4.7112589453076525
prob_binpo_log_placar;4.6022507740229
prob_binpo_p_placar;5.3549839449657775
Defi_PB;26.43433991
RPS_PB;8.407032534999999
Defi_PD_gol;26.359953689999998
RPS_PD_gol;8.40623934
Defi_PD_gol_FinC_RB;26.432489179999994
RPS_PD_gol_FinC_RB;8.43837185
Defi_PD_gol_Fina_RB;26.30952966
RPS_PD_gol_Fina_RB;8.374811790000004
Defi_PD_gol_FinC;26.3792968
RPS_PD_gol_FinC;8.413267025000001
Defi_PD_gol_Fina;26.25285171
RPS_PD_gol_Fina;8.34791807
Defi_DC;28.240825690000005
RPS_DC;9.256960914999999
Defi_binpo_log;27.16635023
RPS_binpo_log;8.826115215000002
Defi_binpo_p;27.921031910000004
RPS_binpo_p;9.273064830000001
Defi_palp_br;29.02910099999998
RPS_palp_br;9.704544250000001
