Var;Sum
prob_PB;[25.0298 12.594  12.3131]
prob_PD_gol;[24.9808 12.7607 12.2136]
prob_PD_gol_FinC_RB;[24.3368 12.9165 12.7061]
prob_PD_gol_Fina_RB;[25.3106 12.7126 11.9332]
prob_PD_gol_FinC;[24.4175 12.8958 12.644 ]
prob_PD_gol_Fina;[25.4237 12.6752 11.8536]
prob_DC;[22.628  11.7988 15.5181]
prob_binpo_log;[25.969  11.2292 12.7196]
prob_binpo_p;[21.2891 13.5707 15.1249]
prob_PB_placar;3.8238999999999996
prob_PD_gol_placar;3.8284399301566476
prob_PD_gol_FinC_placar;3.8447961269011905
prob_PD_gol_Fina_placar;3.8203183914380014
prob_DC_placar;3.4755782856753
prob_binpo_log_placar;3.1347083904675994
prob_binpo_p_placar;3.6494556268072222
Defi_PB;33.96522839
RPS_PB;12.120587855000002
Defi_PD_gol;33.78052093
RPS_PD_gol;12.039710380000004
Defi_PD_gol_FinC_RB;34.061769319999996
RPS_PD_gol_FinC_RB;12.161281485
Defi_PD_gol_Fina_RB;33.698776620000004
RPS_PD_gol_Fina_RB;12.008264680000002
Defi_PD_gol_FinC;34.044259069999995
RPS_PD_gol_FinC;12.150854444999998
Defi_PD_gol_Fina;33.65246240999999
RPS_PD_gol_Fina;11.985032704999997
Defi_DC;34.32941379
RPS_DC;12.356420354999996
Defi_binpo_log;34.07536039999999
RPS_binpo_log;12.191632139999998
Defi_binpo_p;32.87782478999999
RPS_binpo_p;11.787906000000003
Defi_palp_br;30.748700999999976
RPS_palp_br;10.804844249999997
