Var;Sum
prob_PB;[26.7306 13.6768  9.5475]
prob_PD_gol;[25.8554 13.3447 10.7654]
prob_PD_gol_FinC_RB;[25.5169 13.4733 10.979 ]
prob_PD_gol_Fina_RB;[26.0606 13.264  10.6391]
prob_PD_gol_FinC;[25.5735 13.466  10.9299]
prob_PD_gol_Fina;[26.1332 13.2484 10.5815]
prob_DC;[23.5034 11.0673 15.3984]
prob_binpo_log;[26.5659 11.994  11.3807]
prob_binpo_p;[20.6786 13.8319 15.4795]
prob_PB_placar;4.2094000000000005
prob_PD_gol_placar;4.320402345264583
prob_PD_gol_FinC_placar;4.324855716795413
prob_PD_gol_Fina_placar;4.312810147264311
prob_DC_placar;4.099862713704491
prob_binpo_log_placar;3.991066108048607
prob_binpo_p_placar;4.469723755786385
Defi_PB;32.821322310000006
RPS_PB;11.528131954999997
Defi_PD_gol;31.893907990000002
RPS_PD_gol;11.121304830000001
Defi_PD_gol_FinC_RB;31.97606484000001
RPS_PD_gol_FinC_RB;11.150854485000002
Defi_PD_gol_Fina_RB;31.855177149999992
RPS_PD_gol_Fina_RB;11.100799875
Defi_PD_gol_FinC;31.998504920000002
RPS_PD_gol_FinC;11.167706689999996
Defi_PD_gol_Fina;31.859156429999995
RPS_PD_gol_Fina;11.110989824999997
Defi_DC;30.94060308999999
RPS_DC;10.77678974
Defi_binpo_log;31.880527419999993
RPS_binpo_log;11.154791
Defi_binpo_p;29.011355660000007
RPS_binpo_p;9.854315634999997
Defi_palp_br;32.96710099999997
RPS_palp_br;11.914044250000003
